cambridge,year
1453.7664670658683,2010
77553.66301369864,2011
54893.93715846994,2012
592022.1315068493,2013
2626311.8246575347,2014
1962967.6520547946,2015
3052265.825136612,2016
6855055.0,2017
22821543.126027394,2018
26950550.895890407,2019
33404095.366120216,2020
47803822.843835615,2021
48439086.05479452,2022
61904799.843835615,2023
80555680.78680202,2024
