ours,year
16760.780546974078,2011
19503.05813568936,2012
12032.198941024548,2013
690862.1554496795,2014
1270134.4680655603,2015
2118888.393608259,2016
4698609.988079507,2017
19357858.055811875,2018
29515217.609612364,2019
42445928.61660782,2020
46246545.043758936,2021
62954884.51799908,2022
75156152.6790544,2023
