date,avg_efficiency,max_efficiency,open_price,count
2011-05-01,1.477275e-06,3.78e-06,3.0331,4.0
2011-05-02,1.477275e-06,3.78e-06,3.2,0.0
2011-05-03,1.477275e-06,3.78e-06,3.41,0.0
2011-05-04,1.477275e-06,3.78e-06,3.4061,0.0
2011-05-05,1.477275e-06,3.78e-06,3.333,0.0
2011-05-06,1.477275e-06,3.78e-06,3.45,0.0
2011-05-07,1.477275e-06,3.78e-06,3.641,0.0
2011-05-08,1.477275e-06,3.78e-06,3.8659,0.0
2011-05-09,1.477275e-06,3.78e-06,3.8,0.0
2011-05-10,1.477275e-06,3.78e-06,5.81,0.0
2011-05-11,1.477275e-06,3.78e-06,5.5,0.0
2011-05-12,1.477275e-06,3.78e-06,6.3002,0.0
2011-05-13,1.477275e-06,3.78e-06,8.198,0.0
2011-05-14,1.477275e-06,3.78e-06,7.1977,0.0
2011-05-15,1.477275e-06,3.78e-06,6.987,0.0
2011-05-16,1.477275e-06,3.78e-06,8.0339,0.0
2011-05-17,1.477275e-06,3.78e-06,7.19,0.0
2011-05-18,1.477275e-06,3.78e-06,6.88,0.0
2011-05-19,1.477275e-06,3.78e-06,6.805,0.0
2011-05-20,1.8195e-06,3.78e-06,5.5904,1.0
2011-05-21,1.8195e-06,3.78e-06,6.1197,0.0
2011-05-22,1.8195e-06,3.78e-06,6.6901,0.0
2011-05-23,6.532e-07,3.78e-06,7.1499,1.0
2011-05-24,6.532e-07,3.78e-06,7.42,0.0
2011-05-25,6.532e-07,3.78e-06,8.3997,0.0
2011-05-26,6.532e-07,3.78e-06,8.798,0.0
2011-05-27,6.13e-07,3.78e-06,8.5002,1.0
2011-05-28,6.13e-07,3.78e-06,8.3001,0.0
2011-05-29,6.13e-07,3.78e-06,8.4299,0.0
2011-05-30,6.13e-07,3.78e-06,8.8,0.0
2011-05-31,6.13e-07,3.78e-06,8.741,0.0
2011-06-01,6.13e-07,3.78e-06,9.57,0.0
2011-06-02,6.13e-07,3.78e-06,10.6,0.0
2011-06-03,6.13e-07,3.78e-06,14.29,0.0
2011-06-04,6.13e-07,3.78e-06,18.89,0.0
2011-06-05,6.13e-07,3.78e-06,16.7,0.0
2011-06-06,6.13e-07,3.78e-06,18.5499,0.0
2011-06-07,6.13e-07,3.78e-06,23.9234,0.0
2011-06-08,6.13e-07,3.78e-06,29.6,0.0
2011-06-09,6.13e-07,3.78e-06,28.919,0.0
2011-06-10,1.8195e-06,3.78e-06,23.9497,2.0
2011-06-11,1.586375e-06,3.78e-06,14.6511,4.0
2011-06-12,1.586375e-06,3.78e-06,18.5464,0.0
2011-06-13,1.586375e-06,3.78e-06,19.84,0.0
2011-06-14,1.586375e-06,3.78e-06,19.28,0.0
2011-06-15,1.586375e-06,3.78e-06,19.49,0.0
2011-06-16,1.586375e-06,3.78e-06,17.0,0.0
2011-06-17,1.5317e-06,3.78e-06,15.681,4.0
