month,TH/J,t,t_squared,P_max_t,log_P_max_t,model_value
2011-01-01,1.5657608695652174e-06,1.0,1,3.78e-06,-12.485786548332777,
2011-04-01,1.6612383008356546e-06,2.0,4,3.78e-06,-12.485786548332777,1.5657608695648479e-06
2011-07-01,1.8166383512544802e-06,3.0,9,3.78e-06,-12.485786548332777,1.6545853252854207e-06
2011-10-01,2.1694183999999998e-06,4.0,16,2.33e-05,-10.66705719739262,1.8312538679545509e-06
2012-01-01,3.425263837638376e-06,5.0,25,2.33e-05,-10.66705719739262,2.18941265195978e-06
2012-04-01,4.156520379146919e-06,6.0,36,2.33e-05,-10.66705719739262,3.436844533174683e-06
2012-07-01,4.60401179245283e-06,7.0,49,2.33e-05,-10.66705719739262,4.4471317419486845e-06
2012-10-01,5.361026530612245e-06,8.0,64,2.33e-05,-10.66705719739262,4.842560716283656e-06
2013-01-01,4.450572749003984e-05,9.0,81,0.00025,-8.294049640102028,5.410703661105883e-06
2013-04-01,0.0003460335800818554,10.0,100,0.00125,-6.684611727667927,4.194214631046263e-05
2013-07-01,0.0005499993051376146,11.0,121,0.00125,-6.684611727667927,0.00033520562834597517
2013-10-01,0.0006473918956756756,12.0,144,0.00125,-6.684611727667927,0.0006167401715502987
2014-01-01,0.0006107861494271685,13.0,169,0.001429,-6.550780380034407,0.0007162124963726851
2014-04-01,0.0007135876745928339,14.0,196,0.002,-6.214608098422191,0.0006388106626512749
2014-07-01,0.0009986856311004785,15.0,225,0.002,-6.214608098422191,0.0006844147521191501
2014-10-01,0.0011966342786458332,16.0,256,0.00535,-5.230658718074222,0.000992211429688436
2015-01-01,0.0013047274622065728,17.0,289,0.00535,-5.230658718074222,0.0012676701014236846
2015-04-01,0.0013834067913746629,18.0,324,0.00535,-5.230658718074222,0.0013710187102487599
2015-07-01,0.0016328807776842104,19.0,361,0.00535,-5.230658718074222,0.0014045592540963443
2015-10-01,0.0021068987497444634,20.0,400,0.00714,-4.9420425026306445,0.0016242038965269404
2016-01-01,0.0021833496209424084,21.0,441,0.00714,-4.9420425026306445,0.0021345912775881416
2016-04-01,0.003027406097506925,22.0,484,0.00714,-4.9420425026306445,0.0023175873587739236
2016-07-01,0.005249315673880597,23.0,529,0.0102,-4.585367558691911,0.003015463718229993
2016-10-01,0.00507837394556962,24.0,576,0.0102,-4.585367558691911,0.005287171098282086
2017-01-01,0.005719176189776358,25.0,625,0.0102,-4.585367558691911,0.005713669505176132
2017-04-01,0.005604968865677966,26.0,676,0.0102,-4.585367558691911,0.0057747367020798595
2017-07-01,0.006035399165586036,27.0,729,0.0102,-4.585367558691911,0.005628184069963454
2017-10-01,0.007688424834571429,28.0,784,0.0102,-4.585367558691911,0.0059645959525661
2018-01-01,0.008429201611270492,29.0,841,0.01021,-4.584387646805562,0.0076680180536447895
2018-04-01,0.008884608116296296,30.0,900,0.01021,-4.584387646805562,0.008846547681857855
2018-07-01,0.009251121905369128,31.0,961,0.01021,-4.584387646805562,0.00916565434070844
2018-10-01,0.009161569165333333,32.0,1024,0.015384,-4.174427270695658,0.009305787545792584
2019-01-01,0.00937498738440367,33.0,1089,0.02,-3.912023005428146,0.009204830131104671
2019-04-01,0.009488095907142858,34.0,1156,0.02,-3.912023005428146,0.009331245824417104
2019-07-01,0.012141766098581561,35.0,1225,0.0253,-3.6769508832486624,0.009516172866956243
2019-10-01,0.012443656993567252,36.0,1296,0.0253,-3.6769508832486624,0.01200755633788864
2020-01-01,0.014533267486111112,37.0,1369,0.0253,-3.6769508832486624,0.013111153240137435
2020-04-01,0.014120315855660377,38.0,1444,0.0339,-3.3843402645957323,0.01467346643576859
2020-07-01,0.016726025223728815,39.0,1521,0.0339,-3.3843402645957323,0.01457465228443629
2020-10-01,0.012389495880219781,40.0,1600,0.0339,-3.3843402645957323,0.016505627268773963
2021-01-01,0.013592533939893616,41.0,1681,0.0339,-3.3843402645957323,0.013227390932952233
2021-04-01,0.015077861475630252,42.0,1764,0.0339,-3.3843402645957323,0.012585213649542081
2021-07-01,0.017422868862420383,43.0,1849,0.0339,-3.3843402645957323,0.014825424126983438
2021-10-01,0.018726765562637363,44.0,1936,0.0339,-3.3843402645957323,0.017882635073887355
2022-01-01,0.01716252731953125,45.0,2025,0.0339,-3.3843402645957323,0.01946415453373313
2022-04-01,0.01697877010952381,46.0,2116,0.0339,-3.3843402645957323,0.017685949000006584
2022-07-01,0.01692547425247525,47.0,2209,0.0465,-3.0683029663888264,0.016488586441757724
2022-10-01,0.016323006632051284,48.0,2304,0.0465,-3.0683029663888264,0.01661329590223026
2023-01-01,0.018673570276842105,49.0,2401,0.0465,-3.0683029663888264,0.016407564787802077
2023-04-01,0.01890049286282051,50.0,2500,-1.0,,0.018451498420795333
2023-07-01,0.01911712307894737,51.0,2601,-1.0,,0.019452575398767647
2023-10-01,0.029121983746153844,52.0,2704,-1.0,,0.019362330206433867
