hashrate,coins_per_block,date
2.474677095989865e+20,6.25,2022-12-01
2.6929946027567448e+20,6.25,2023-01-01
2.9250545513225198e+20,6.25,2023-02-01
3.2708426998951975e+20,6.25,2023-03-01
3.431148495049612e+20,6.25,2023-04-01
3.5346919766356486e+20,6.25,2023-05-01
3.6992547548273403e+20,6.25,2023-06-01
3.750404461633828e+20,6.25,2023-07-01
3.853479278957576e+20,6.25,2023-08-01
4.023850102769436e+20,6.25,2023-09-01
4.4106749777492784e+20,6.25,2023-10-01
4.722977116749992e+20,6.25,2023-11-01
5.0086423768927955e+20,6.25,2023-12-01
5.166878053313534e+20,6.25,2024-01-01
5.6868310023560744e+20,6.25,2024-02-01
5.969254774767861e+20,6.25,2024-03-01
