date,hardware_name,TH/J,max_efficiency,year
2011-05-23 02:30:05,5830,1.5452e-06,3.78e-06,2011
2011-05-23 02:30:05,5870,1.906e-06,3.78e-06,2011
2011-05-23 02:30:05,5850,1.8195e-06,3.78e-06,2011
2011-05-23 03:35:27,8800gt,2.672e-07,3.78e-06,2011
2011-05-23 03:47:46,5850,1.8195e-06,3.78e-06,2011
2011-05-23 03:47:46,5850,1.8195e-06,3.78e-06,2011
2011-05-23 06:19:18,5870,1.906e-06,3.78e-06,2011
2011-05-23 06:37:36,6970,1.8507e-06,3.78e-06,2011
2011-05-23 06:37:36,5870,1.906e-06,3.78e-06,2011
2011-05-23 07:05:17,5850,1.8195e-06,3.78e-06,2011
2011-05-23 07:05:17,5970,2.0053e-06,3.78e-06,2011
2011-05-23 07:05:17,6990,1.9056e-06,3.78e-06,2011
2011-05-23 07:05:17,5830,1.5452e-06,3.78e-06,2011
2011-05-23 10:18:52,5850,1.8195e-06,3.78e-06,2011
2011-05-23 10:18:52,6950,1.9399e-06,3.78e-06,2011
2011-05-23 10:18:52,6870,1.7264e-06,3.78e-06,2011
2011-05-23 10:18:52,5870,1.906e-06,3.78e-06,2011
2011-05-23 14:26:57,6870,1.7264e-06,3.78e-06,2011
2011-05-23 17:33:04,5970,2.0053e-06,3.78e-06,2011
2011-05-23 17:33:04,6990,1.9056e-06,3.78e-06,2011
2011-05-23 17:37:00,5850,1.8195e-06,3.78e-06,2011
2011-05-23 17:37:00,5970,2.0053e-06,3.78e-06,2011
2011-05-27 15:24:36,5850,1.8195e-06,3.78e-06,2011
2011-05-27 22:34:06,5850,1.8195e-06,3.78e-06,2011
2011-05-27 23:19:01,5850,1.8195e-06,3.78e-06,2011
2011-05-28 03:52:30,6870,1.7264e-06,3.78e-06,2011
2011-05-28 05:52:40,6950,1.9399e-06,3.78e-06,2011
2011-05-28 06:39:03,6950,1.9399e-06,3.78e-06,2011
2011-05-28 08:49:34,5850,1.8195e-06,3.78e-06,2011
2011-05-28 09:02:28,5830,1.5452e-06,3.78e-06,2011
2011-06-01 06:35:38,5870,1.906e-06,3.78e-06,2011
2011-06-01 06:35:38,5870,1.906e-06,3.78e-06,2011
2011-06-01 12:17:34,5870,1.906e-06,3.78e-06,2011
2011-06-01 12:17:34,4870,6.532e-07,3.78e-06,2011
2011-06-01 17:22:52,5830,1.5452e-06,3.78e-06,2011
2011-06-01 17:22:52,5850,1.8195e-06,3.78e-06,2011
2011-06-01 19:05:21,5870,1.906e-06,3.78e-06,2011
2011-06-01 19:05:21,5770,1.9401e-06,3.78e-06,2011
2011-06-01 19:57:59,5870,1.906e-06,3.78e-06,2011
2011-06-02 00:32:42,5870,1.906e-06,3.78e-06,2011
2011-06-02 01:30:15,5870,1.906e-06,3.78e-06,2011
2011-06-02 01:30:15,6970,1.8507e-06,3.78e-06,2011
2011-06-02 01:30:15,4870,6.532e-07,3.78e-06,2011
2011-06-02 02:56:10,4350,3.46e-07,3.78e-06,2011
2011-06-02 02:56:10,6970,1.8507e-06,3.78e-06,2011
2011-06-02 02:56:10,6990,1.9056e-06,3.78e-06,2011
2011-06-02 02:56:10,5850,1.8195e-06,3.78e-06,2011
2011-06-02 02:56:10,6950,1.9399e-06,3.78e-06,2011
2011-06-02 04:19:57,6950,1.9399e-06,3.78e-06,2011
2011-06-02 04:52:47,5830,1.5452e-06,3.78e-06,2011
2011-06-02 04:52:47,8800gts,1.09e-07,3.78e-06,2011
2011-06-04 13:19:56,5850,1.8195e-06,3.78e-06,2011
2011-06-04 14:18:48,6850,1.3996e-06,3.78e-06,2011
2011-06-04 15:39:37,5770,1.9401e-06,3.78e-06,2011
2011-06-04 15:39:37,5770,1.9401e-06,3.78e-06,2011
2011-06-04 17:03:10,5830,1.5452e-06,3.78e-06,2011
2011-06-04 19:54:39,5870,1.906e-06,3.78e-06,2011
2011-06-04 21:23:57,5870,1.906e-06,3.78e-06,2011
2011-06-04 21:34:43,6990,1.9056e-06,3.78e-06,2011
2011-06-04 22:03:15,5870,1.906e-06,3.78e-06,2011
2011-06-04 22:07:50,5870,1.906e-06,3.78e-06,2011
2011-06-04 22:07:50,5850,1.8195e-06,3.78e-06,2011
2011-06-04 22:27:45,gtx295,3.783e-07,3.78e-06,2011
2011-06-04 22:27:45,6990,1.9056e-06,3.78e-06,2011
2011-06-05 00:43:59,5870,1.906e-06,3.78e-06,2011
2011-06-05 00:43:59,5870,1.906e-06,3.78e-06,2011
2011-06-05 05:40:21,6950,1.9399e-06,3.78e-06,2011
2011-06-05 05:40:21,5850,1.8195e-06,3.78e-06,2011
2011-06-05 05:40:21,6990,1.9056e-06,3.78e-06,2011
2011-06-07 04:55:56,6950,1.9399e-06,3.78e-06,2011
2011-06-07 04:55:56,5850,1.8195e-06,3.78e-06,2011
2011-06-07 07:48:58,6850,1.3996e-06,3.78e-06,2011
2011-06-07 07:48:58,6950,1.9399e-06,3.78e-06,2011
2011-06-07 10:16:30,8800gt,2.672e-07,3.78e-06,2011
2011-06-07 10:16:30,6970,1.8507e-06,3.78e-06,2011
2011-06-07 11:36:18,gtx470,4.505e-07,3.78e-06,2011
2011-06-07 12:40:47,5850,1.8195e-06,3.78e-06,2011
2011-06-07 13:34:25,5850,1.8195e-06,3.78e-06,2011
2011-06-07 14:28:24,5850,1.8195e-06,3.78e-06,2011
2011-06-07 14:45:02,5870,1.906e-06,3.78e-06,2011
2011-06-07 14:45:02,5970,2.0053e-06,3.78e-06,2011
2011-06-08 21:16:48,5830,1.5452e-06,3.78e-06,2011
2011-06-08 22:09:24,6970,1.8507e-06,3.78e-06,2011
