hardware_name,Mhash/J
gt240m,0.426
gt430,0.413
gt530,0.358
gts 350m,1.214
gts250,0.2435
gts450,0.427
gtx 560m,0.38
gtx260,0.21
gtx260c216,0.248
gtx275,0.232
gtx280,0.2435
gtx285,0.262
gtx295,0.3783
gtx460,0.427
gtx460 1gb,0.519
gtx460se,0.376
gtx465,0.322
gtx470,0.4505
gtx480,0.405
gtx560,0.51
gtx560 ti,0.4320
gtx570,0.613
gtx580,0.642
gtx670,1.1
gtx680,1.2
halong mining dragonmint t1,10810.810810810812
hashbuster micro,869
hashfast baby jet,909
hashfast sierra,909
hashfast sierra evo 3,909
holic h22,12941.176470588236
holic h28,13333.333333333334
ibm power4+ 2/way,0.58
ibm power7,7.6
icarus,19.79
innosilicon t2 terminator,10955.414012738853
innosilicon t2 turbo,12121.212121212122
innosilicon t2 turbo 26t,12380.952380952382
innosilicon t2 turbo hf+,12692.307692307691
innosilicon t2 turbo+ 32t,14545.454545454546
innosilicon t3 39t,18139.534883720928
innosilicon t3 43t,20476.19047619048
innosilicon t3 50t,16129.032258064515
innosilicon t3+ 52t,18571.42857142857
innosilicon t3+ 57t,17272.727272727272
ion,0.067
ipollo b1l,20000.0
klondike,160
knc jupiter,400
knc neptune,1429
knc saturn,400
marvel feroceon,0.195
metabank,705
microbt whatsminer m10,15384.615384615385
microbt whatsminer m10s,15714.285714285716
microbt whatsminer m20s,20238.09523809524
microbt whatsminer m21,16666.666666666668
microbt whatsminer m21s,16666.666666666668
microbt whatsminer m3,6000.0
microbt whatsminer m30s,26315.78947368421
microbt whatsminer m30s+,29411.764705882357
microbt whatsminer m30s++,32258.06451612903
microbt whatsminer m31s,23602.48447204969
microbt whatsminer m31s+,23809.52380952381
microbt whatsminer m32,18518.51851851852
microbt whatsminer m32s,19230.76923076923
microbt whatsminer m33s++,33333.333333333336
microbt whatsminer m36s+,29411.764705882357
microbt whatsminer m3x,6097.5609756097565
microbt whatsminer m50,34482.75862068965
microbt whatsminer m50s,38461.53846153846
microbt whatsminer m53,34482.75862068965
microbt whatsminer m53s,38461.53846153846
microbt whatsminer m56,34954.95495495495
microbt whatsminer m56s,38198.1981981982
microbt whatsminer m60,50263.00409117475
microbt whatsminer m60s,54054.05405405406
mips,0.026
modminer quad,20
nanofury / icefury,800
nanofury nf2,740
old xeon 512k,2
ontario c-50,6.2
open shift,0.059
pantech sx6,8500.0
pantech wx6,6800.0
pentium 4 2.0a,0.85
pentium 4 630,1.29
pentium dual-core e2180,3.4499
pentium dual-core e5400,2.27
pentium iii,0.39
pentium iii mobile ?,0.3
pentium m 1.6ghz,0.5766
pentium m 1.73ghz,0.5
phenom ii x3 720,5.5
phenom ii x4 810,9.125
phenom ii x4 955,11
phenom ii x4 965,12
phenom ii x6 1055t,19.72
phenom ii x6 1075t,21.3
phenom ii x6 1090t,18
phenom ii x6 1100t,22
phenom x4 9950 be,9.3
powerpc 7447a,0.53
powerpc 7450,1.29
powerpc 750,0.14
quadro 5000,0.445
quadro fx 1600m,0.12
quadro fx 2000m,0.397
quadro fx 2800m,0.293
quadro fx 3600m,0.514
quadro fx 580,0.14
quadro nvs 135m,0.1
quadro nvs 295,0.07
quadro nvs 3100m,0.257
red/bluefury,1040
rkminer r-box,711
rkminer r-box 110g,917
rkminer r3-box,1000
rkminer r4-box,1000
rkminer rocket box,937
rkminer t1 800g,800
sempron 3000+,0.8
spondooliestech sp10 dawson,1120
spondooliestech sp20 jackson,1545
spondooliestech sp30 yukon,1500
spondooliestech sp31 yukon,1633
spondooliestech sp35 yukon,1506
strongu hornbill h8,22222.222222222223
strongu hornbill h8 pro,25000.0
strongu stu-u8,21904.761904761905
strongu stu-u8 pro,21428.571428571428
terrahash dx large,140
terrahash dx mini,140
terrahash klondike 16,140
terrahash klondike 64,140
turion x2 rm-70,1.9
twinfury,1174
via eden,1.3
x6500 fpga miner,23.25
xeon 2.8,0.8
xeon 3060,2.03
xeon e3-1230 v2,19.7
xeon e5-2690,66
xeon e5335,9.35
xeon e5410,9.8
xeon e5440,7.3
xeon e5506,9.6
xeon e5520,6.5
xeon e5530,7.14
xeon e5620,11.2
xeon e5630,8
xeon e6520,24.7
xeon e7220,6.3
xeon e7320,1.5
xeon e7450,60
xeon e7520,18
xeon phi 5100,140
xeon prestonia 2.4,2.16
xeon w3680,18
xeon x5355,16.445
xeon x5365,26
xeon x5650,28.6
zacate e-350,11.5
