hardware_index,hardware_name
321,Core i5-650
322,Core i5-750
323,Core i5 ?
324,Core i5-2400
325,Core i5-2400S
326,Core i5 2500K
327,Core i5 2600K
328,Core i7 2600K
329,Core i7 2600
330,Core i7 620M
331,Core i7 720QM
332,Core i7 820
333,Core i7 920
334,Core i7 950
335,Core i7 980x
336,Core i7 990x
337,Core i7 2635QM
338,Core i7 2600k
339,Core i7 3770k
340,Core i7 3930k
341,Core 2 Duo U7600
342,Core 2 Duo E5200
343,Core 2 Duo E6550
344,Core 2 Duo E6850
345,Core 2 Duo E7300
346,Core 2 Duo E8200
347,Core 2 Duo E8400
348,Core 2 Duo E8500
349,Core 2 Duo P8700
350,Core 2 Duo T5450
351,Core 2 Duo T5500
352,Core 2 Duo T6400
353,Core 2 Duo T7250
354,Core 2 Duo T7450
355,Core 2 Duo T9400
356,Core 2 Extreme X9000
357,Xeon 2.8
358,Xeon 3060
359,Xeon Prestonia 2.4
360,Xeon X5355
361,Xeon E3-1230 V2
362,Xeon X5365
363,Xeon X5650
364,Xeon E5-2690
365,Xeon E5335
366,Xeon E5410
367,Xeon E5440
368,Xeon E5506
369,Xeon E5520
370,Xeon E5530
371,Xeon E5620
372,Xeon E5630
373,Xeon E6520
374,Xeon E7220
375,Xeon E7320
376,Xeon E7450
377,Xeon E7520
378,Xeon W3680
379,Atom Z520
380,Atom N230
381,Atom N270
382,Atom N450
383,Atom N550
384,Atom 330
385,Atom D510
386,Xeon Phi 5100
387,Cell
388,MIPS
389,VIA Eden
390,PowerPC 7447A
391,PowerPC 7450
392,PowerPC 750
393,IBM POWER4+ 2/way
394,IBM Power7
395,Google App Engine
396,Open Shift
