date,max_efficiency
2011-09-03,23300000.0
2011-09-04,23300000.0
2011-09-05,23300000.0
2011-09-06,23300000.0
2011-09-07,23300000.0
2011-09-08,23300000.0
2011-09-09,23300000.0
2011-09-10,23300000.0
2011-09-11,23300000.0
2011-09-12,23300000.0
2011-09-13,23300000.0
2011-09-14,23300000.0
2011-09-15,23300000.0
2011-09-16,23300000.0
2011-09-17,23300000.0
2011-09-18,23300000.0
2011-09-19,23300000.0
2011-09-20,23300000.0
2011-09-21,23300000.0
2011-09-22,23300000.0
2011-09-23,23300000.0
2011-09-24,23300000.0
2011-09-25,23300000.0
2011-09-26,23300000.0
2011-09-27,23300000.0
2011-09-28,23300000.0
2011-09-29,23300000.0
2011-09-30,23300000.0
2011-10-01,23300000.0
2011-10-02,23300000.0
2011-10-03,23300000.0
2011-10-04,23300000.0
2011-10-05,23300000.0
2011-10-06,23300000.0
2011-10-07,23300000.0
2011-10-08,23300000.0
2011-10-09,23300000.0
2011-10-10,23300000.0
2011-10-11,23300000.0
2011-10-12,23300000.0
2011-10-13,23300000.0
2011-10-14,23300000.0
2011-10-15,23300000.0
2011-10-16,23300000.0
2011-10-17,23300000.0
2011-10-18,23300000.0
2011-10-19,23300000.0
2011-10-20,23300000.0
2011-10-21,23300000.0
2011-10-22,23300000.0
2011-10-23,23300000.0
2011-10-24,23300000.0
2011-10-25,23300000.0
2011-10-26,23300000.0
2011-10-27,23300000.0
2011-10-28,23300000.0
2011-10-29,23300000.0
2011-10-30,23300000.0
2011-10-31,23300000.0
2011-11-01,23300000.0
2011-11-02,23300000.0
2011-11-03,23300000.0
2011-11-04,23300000.0
2011-11-05,23300000.0
2011-11-06,23300000.0
2011-11-07,23300000.0
2011-11-08,23300000.0
2011-11-09,23300000.0
2011-11-10,23300000.0
2011-11-11,23300000.0
2011-11-12,23300000.0
2011-11-13,23300000.0
2011-11-14,23300000.0
2011-11-15,23300000.0
2011-11-16,23300000.0
2011-11-17,23300000.0
2011-11-18,23300000.0
2011-11-19,23300000.0
2011-11-20,23300000.0
2011-11-21,23300000.0
2011-11-22,23300000.0
2011-11-23,23300000.0
2011-11-24,23300000.0
2011-11-25,23300000.0
2011-11-26,23300000.0
2011-11-27,23300000.0
2011-11-28,23300000.0
2011-11-29,23300000.0
2011-11-30,23300000.0
2011-12-01,23300000.0
2011-12-02,23300000.0
2011-12-03,23300000.0
2011-12-04,23300000.0
2011-12-05,23300000.0
2011-12-06,23300000.0
2011-12-07,23300000.0
2011-12-08,23300000.0
2011-12-09,23300000.0
2011-12-10,23300000.0
2011-12-11,23300000.0
2011-12-12,23300000.0
2011-12-13,23300000.0
2011-12-14,23300000.0
2011-12-15,23300000.0
2011-12-16,23300000.0
2011-12-17,23300000.0
2011-12-18,23300000.0
2011-12-19,23300000.0
2011-12-20,23300000.0
2011-12-21,23300000.0
2011-12-22,23300000.0
2011-12-23,23300000.0
2011-12-24,23300000.0
2011-12-25,23300000.0
2011-12-26,23300000.0
2011-12-27,23300000.0
2011-12-28,23300000.0
2011-12-29,23300000.0
2011-12-30,23300000.0
2011-12-31,23300000.0
2012-01-01,23300000.0
2012-01-02,23300000.0
2012-01-03,23300000.0
2012-01-04,23300000.0
2012-01-05,23300000.0
2012-01-06,23300000.0
2012-01-07,23300000.0
2012-01-08,23300000.0
2012-01-09,23300000.0
2012-01-10,23300000.0
2012-01-11,23300000.0
2012-01-12,23300000.0
2012-01-13,23300000.0
2012-01-14,23300000.0
2012-01-15,23300000.0
2012-01-16,23300000.0
2012-01-17,23300000.0
2012-01-18,23300000.0
2012-01-19,23300000.0
2012-01-20,23300000.0
2012-01-21,23300000.0
2012-01-22,23300000.0
2012-01-23,23300000.0
2012-01-24,23300000.0
2012-01-25,23300000.0
2012-01-26,23300000.0
2012-01-27,23300000.0
2012-01-28,23300000.0
2012-01-29,23300000.0
2012-01-30,23300000.0
2012-01-31,23300000.0
2012-02-01,23300000.0
2012-02-02,23300000.0
2012-02-03,23300000.0
2012-02-04,23300000.0
2012-02-05,23300000.0
2012-02-06,23300000.0
2012-02-07,23300000.0
2012-02-08,23300000.0
2012-02-09,23300000.0
2012-02-10,23300000.0
2012-02-11,23300000.0
2012-02-12,23300000.0
2012-02-13,23300000.0
2012-02-14,23300000.0
2012-02-15,23300000.0
2012-02-16,23300000.0
2012-02-17,23300000.0
2012-02-18,23300000.0
2012-02-19,23300000.0
2012-02-20,23300000.0
2012-02-21,23300000.0
2012-02-22,23300000.0
2012-02-23,23300000.0
2012-02-24,23300000.0
2012-02-25,23300000.0
2012-02-26,23300000.0
2012-02-27,23300000.0
2012-02-28,23300000.0
2012-02-29,23300000.0
2012-03-01,23300000.0
2012-03-02,23300000.0
2012-03-03,23300000.0
2012-03-04,23300000.0
2012-03-05,23300000.0
2012-03-06,23300000.0
2012-03-07,23300000.0
2012-03-08,23300000.0
2012-03-09,23300000.0
2012-03-10,23300000.0
2012-03-11,23300000.0
2012-03-12,23300000.0
2012-03-13,23300000.0
2012-03-14,23300000.0
2012-03-15,23300000.0
2012-03-16,23300000.0
2012-03-17,23300000.0
2012-03-18,23300000.0
2012-03-19,23300000.0
2012-03-20,23300000.0
2012-03-21,23300000.0
2012-03-22,23300000.0
2012-03-23,23300000.0
2012-03-24,23300000.0
2012-03-25,23300000.0
