date,efficiency,max_efficiency
2012-11-30,3.863516666666667e-06,0.0001064233333333
2012-10-31,7.308551219512196e-06,2.33e-05
2012-09-30,3.3967057142857146e-06,2.33e-05
2012-08-31,5.2600548780487805e-06,2.33e-05
2012-07-31,4.650308333333333e-06,2.33e-05
2012-06-30,4.440153424657534e-06,2.33e-05
2012-05-31,3.314882894736842e-06,2.33e-05
2012-04-30,4.609686363636363e-06,2.33e-05
2012-03-31,5.8484375e-06,2.33e-05
2012-02-29,2.236092366412214e-06,2.33e-05
2012-01-31,2.232154411764706e-06,2.33e-05
2011-12-31,3.240815e-06,2.33e-05
2011-11-30,1.718582608695652e-06,2.33e-05
2011-10-31,1.609286567164179e-06,2.33e-05
2011-09-30,1.6976125e-06,2.33e-05
2011-08-31,1.923332727272728e-06,6.298709677419355e-06
2011-07-31,1.7120890688259107e-06,3.78e-06
2011-06-30,1.6656128e-06,3.78e-06
2011-05-31,1.6146677631578946e-06,3.78e-06
2011-04-30,1.7084220338983051e-06,3.78e-06
2011-03-31,1.4647222222222223e-06,3.78e-06
2011-02-28,1.8887833333333331e-06,3.78e-06
