hardware_name,hashrate,efficiency,hardware_index
Quadro FX 3800,33.3,unknown,252
Quadro FX 580,5.7,0.14,253
Quadro FX 770M,6.07,unknown,254
Quadro FX 880M,9.6,unknown,255
Quadro NVS 135M,1.05,0.1,256
Quadro NVS 295,1.7,0.07,257
Quadro NVS 3100M,3.6,0.257,258
Quadro NVS 4200M,10,unknown,259
Tesla C1060,52.5,unknown,260
Tesla K20,134.8,unknown,261
Tesla M2050,87.15,unknown,262
Tesla S1070,155.2,unknown,263
Tesla S2070,749.23,unknown,264
4x Opteron 6174,48,115,265
2x Opteron 6172,24,55,266
2x Opteron 6128,16,32.4,267
Athlon XP 2000+,2,0.62,268
Athlon 64 3500+,1,1.18,269
Athlon 64 X2 3800+,2,1.73,270
Athlon 64 X2 4000+,2,1.9,271
Athlon 64 X2 4400+,unknown,2.09,272
Athlon 64 X2 6000+,2,2.81,273
Athlon 64 X2 6400+ Black Edition,2,2.9,274
Athlon II X2 240e,2,2.71,275
Athlon II X2 250,2,5.6,276
Athlon II X4 630,4,10.7,277
Phenom II X3 720,3,5.5,278
Phenom X4 9950 BE,4,9.3,279
Phenom II X4 810,4,9.125,280
Phenom II X4 955,4,11,281
Phenom II X4 965,4,12,282
Phenom II X6 1055T,6,19.72,283
Phenom II X6 1075T,6,21.3,284
Phenom II X6 1090T,6,18,285
Phenom II X6 1100T,6,22,286
Sempron 3000+,2,0.8,287
Turion X2 RM-70,2,1.9,288
Zacate E-350,2,11.5,289
Ontario C-50,2,6.2,290
A4-3400,2,23.2,291
A8-3850,4,60,292
A8-3870K,4,95,293
A10-5800K,4,105,294
ARM926EJ-S,1,0.187,295
Marvel Feroceon,1,0.195,296
ARM1136EJ-S,1,0.11,297
ARM1176JZ-S,1,0.1595,298
Cortex-A8,1,0.313,299
AllWinner A10,1,0.568,300
Cortex-A9,2,0.935,301
Pentium III,2,0.39,302
Pentium III mobile ?,1,0.3,303
Pentium M 1.6ghz,1,0.5766,304
Pentium M 1.73ghz,1,0.5,305
Old Xeon 512k,212,2,306
Pentium 4 2.0A,1,0.85,307
Pentium 4 630,12,1.29,308
Pentium Dual-Core E2180,22,3.4499,309
Pentium Dual-Core E5400,22,2.27,310
Celeron E330,22,2.2,311
Celeron E3400,22,5.9,312
Core 2 Quad Q6600,44,11,313
Core 2 Quad Q8200,44,10.9,314
Core 2 Quad Q9400,44,11,315
Core 2 Quad Q9650,44,18.67,316
Core i3 530,24,8.31,317
Core i3 M350,24,1.48,318
Core i3-2100,24,8.28,319
Core i5 M450,24,1.8,320
Core i5-650,24,5.1,321
Core i5-750,44,14,322
Core i5 ?,4,6.5,323
Core i5-2400,44,9.25,324
Core i5-2400S,44,16.6,325
Core i5 2500K,44,20.6,326
Core i5 2600K,48,17.3,327
Core i7 2600K,48,18.6,328
Core i7 2600,48,23.9,329
Core i7 620M,24,4.896,330
Core i7 720QM,48,7.9,331
Core i7 820,48,13.8,332
Core i7 920,48,19.2,333
Core i7 950,48,12.389,334
Core i7 980x,612,13.95,335
Core i7 990x,612,33.3,336
Core i7 2635QM,48,2.93,337
Core i7 2600k,44,6.7,338
Core i7 3770k,48,5.2,339
Core i7 3930k,612,66.6,340
Core 2 Duo U7600,1,1.1,341
Core 2 Duo E5200,22,6.2,342
Core 2 Duo E6550,12,2.45,343
Core 2 Duo E6850,22,6.75,344
Core 2 Duo E7300,22,5.14,345
Core 2 Duo E8200,22,2.3,346
Core 2 Duo E8400,22,6.9,347
Core 2 Duo E8500,17,5.4,348
Core 2 Duo P8700,22,5.9,349
Core 2 Duo T5450,22,2.5,350
Core 2 Duo T5500,22,4.3,351
Core 2 Duo T6400,22,4.2,352
Core 2 Duo T7250,22,4.5,353
Core 2 Duo T7450,22,3.7,354
Core 2 Duo T9400,22,4.2,355
Core 2 Extreme X9000,22,5.2566,356
Xeon 2.8,22,0.8,357
Xeon 3060,12,2.03,358
Xeon Prestonia 2.4,212,2.16,359
Xeon X5355,244,16.445,360
Xeon E3-1230 V2,48,19.7,361
Xeon X5365,244,26,362
Xeon X5650,2624,28.6,363
Xeon E5-2690,2832,66,364
Xeon E5335,44,9.35,365
Xeon E5410,44,9.8,366
Xeon E5440,48,7.3,367
Xeon E5506,44,9.6,368
Xeon E5520,48,6.5,369
Xeon E5530,48,7.14,370
Xeon E5620,48,11.2,371
Xeon E5630,248,8,372
Xeon E6520,248,24.7,373
Xeon E7220,22,6.3,374
Xeon E7320,22,1.5,375
Xeon E7450,4624,60,376
Xeon E7520,2416,18,377
Xeon W3680,612,18,378
Atom Z520,12,1.2,379
Atom N230,12,0.5299,380
Atom N270,12,1.19,381
Atom N450,12,1.6,382
Atom N550,24,1.97,383
Atom 330,24,1.8,384
Atom D510,34,1.65,385
Xeon Phi 5100,60240,140,386
Cell,6.3333,22.866,387
MIPS,1,0.026,388
VIA Eden,1,1.3,389
PowerPC 7447A,1,0.53,390
PowerPC 7450,1,1.29,391
PowerPC 750,1,0.14,392
IBM POWER4+ 2/way,21,0.58,393
IBM Power7,unknown,7.6,394
Google App Engine,1,0.144,395
Open Shift,1,0.059,396
