row_index,date
310,2013-09-10
311,2013-09-10
312,2013-09-11
313,2013-09-11
314,2013-09-13
315,2013-09-15
316,2013-09-15
317,2013-09-16
318,2013-09-17
319,2013-09-17
320,2013-09-17
321,2013-09-18
322,2013-09-19
323,2013-09-20
324,2013-09-22
325,2013-09-22
326,2013-09-22
327,2013-09-22
328,2013-09-22
329,2013-09-22
330,2013-09-23
331,2013-09-23
332,2013-09-23
333,2013-09-24
334,2013-09-24
335,2013-09-24
336,2013-09-24
337,2013-09-24
338,2013-09-24
339,2013-09-24
340,2013-09-26
341,2013-09-26
342,2013-09-26
343,2013-09-27
344,2013-09-28
345,2013-09-28
346,2013-09-30
347,2013-10-01
348,2013-10-01
349,2013-10-02
350,2013-10-02
351,2013-10-07
352,2013-10-09
353,2013-10-09
354,2013-10-10
355,2013-10-10
356,2013-10-10
357,2013-10-10
358,2013-10-10
359,2013-10-12
360,2013-10-13
361,2013-10-13
362,2013-10-14
363,2013-10-16
364,2013-10-17
365,2013-10-17
366,2013-10-19
367,2013-10-21
368,2013-10-23
369,2013-10-24
370,2013-10-27
371,2013-10-28
372,2013-11-01
373,2013-11-01
374,2013-11-03
375,2013-11-03
376,2013-11-04
377,2013-11-04
378,2013-11-05
379,2013-11-07
380,2013-11-07
381,2013-11-07
382,2013-11-07
383,2013-11-09
384,2013-11-10
385,2013-11-11
386,2013-11-11
387,2013-11-11
388,2013-11-11
389,2013-11-11
390,2013-11-11
391,2013-11-11
392,2013-11-11
393,2013-11-11
394,2013-11-11
395,2013-11-11
396,2013-11-11
397,2013-11-12
398,2013-11-12
399,2013-11-12
400,2013-11-15
401,2013-11-16
402,2013-11-16
403,2013-11-16
404,2013-11-17
405,2013-11-17
406,2013-11-17
407,2013-11-18
408,2013-11-26
409,2013-11-26
410,2013-11-26
411,2013-11-30
412,2013-11-30
413,2013-11-30
414,2013-12-02
415,2013-12-03
416,2013-12-03
417,2013-12-04
418,2013-12-05
419,2013-12-05
420,2013-12-06
421,2013-12-06
422,2013-12-08
423,2013-12-08
424,2013-12-09
425,2013-12-10
426,2013-12-11
427,2013-12-12
428,2013-12-13
429,2013-12-13
430,2013-12-13
431,2013-12-13
432,2013-12-15
433,2013-12-17
434,2013-12-19
435,2013-12-20
436,2013-12-21
437,2013-12-21
438,2013-12-22
439,2013-12-27
440,2013-12-27
441,2013-12-27
442,2013-12-28
443,2013-12-29
444,2014-01-05
445,2014-01-05
446,2014-01-05
447,2014-01-07
448,2014-01-07
449,2014-01-07
450,2014-01-07
451,2014-01-07
452,2014-01-08
453,2014-01-08
454,2014-01-08
455,2014-01-09
456,2014-01-10
457,2014-01-11
458,2014-01-11
459,2014-01-13
460,2014-01-13
461,2014-01-13
462,2014-01-13
463,2014-01-13
464,2014-01-13
465,2014-01-13
466,2014-01-13
467,2014-01-13
468,2014-01-13
469,2014-01-13
470,2014-01-13
471,2014-01-14
472,2014-01-14
473,2014-01-14
474,2014-01-14
475,2014-01-15
476,2014-01-15
477,2014-01-17
478,2014-01-17
479,2014-01-17
480,2014-01-17
481,2014-01-21
482,2014-01-21
483,2014-01-21
484,2014-01-24
485,2014-01-24
486,2014-01-26
487,2014-01-27
488,2014-01-28
489,2014-01-28
490,2014-01-28
491,2014-01-28
492,2014-01-30
493,2014-01-31
494,2014-02-05
495,2014-02-05
496,2014-02-05
497,2014-02-05
498,2014-02-05
499,2014-02-05
500,2014-02-10
501,2014-02-11
502,2014-02-12
503,2014-02-12
504,2014-02-17
505,2014-02-21
506,2014-02-24
507,2014-02-24
508,2014-02-24
509,2014-02-25
510,2014-02-25
511,2014-02-27
512,2014-02-27
513,2014-02-27
514,2014-02-28
515,2014-03-01
516,2014-03-02
517,2014-03-05
518,2014-03-05
519,2014-03-05
520,2014-03-05
521,2014-03-05
522,2014-03-05
523,2014-03-05
524,2014-03-05
525,2014-03-05
526,2014-03-05
527,2014-03-05
528,2014-03-05
529,2014-03-05
530,2014-03-05
531,2014-03-05
532,2014-03-05
533,2014-03-05
534,2014-03-05
535,2014-03-05
536,2014-03-05
537,2014-03-05
538,2014-03-05
539,2014-03-05
540,2014-03-05
541,2014-03-05
542,2014-03-05
543,2014-03-05
544,2014-03-05
545,2014-03-05
546,2014-03-05
547,2014-03-05
548,2014-03-05
549,2014-03-05
550,2014-03-07
551,2014-03-07
552,2014-03-09
553,2014-03-09
554,2014-03-09
555,2014-03-10
556,2014-03-11
557,2014-03-12
558,2014-03-12
559,2014-03-13
560,2014-03-13
561,2014-03-13
562,2014-03-13
563,2014-03-13
564,2014-03-13
565,2014-03-13
566,2014-03-13
567,2014-03-13
568,2014-03-15
569,2014-03-15
570,2014-03-15
571,2014-03-16
572,2014-03-17
573,2014-03-19
574,2014-03-19
575,2014-03-21
576,2014-03-21
577,2014-03-25
578,2014-03-25
579,2014-03-28
580,2014-03-29
581,2014-03-29
582,2014-03-29
583,2014-03-29
584,2014-04-01
585,2014-04-02
586,2014-04-04
587,2014-04-05
588,2014-04-05
589,2014-04-05
590,2014-04-07
591,2014-04-10
592,2014-04-10
593,2014-04-14
594,2014-04-14
595,2014-04-16
596,2014-04-16
597,2014-04-17
598,2014-04-18
599,2014-04-18
600,2014-04-19
601,2014-04-20
602,2014-04-22
603,2014-04-23
604,2014-04-27
605,2014-04-27
606,2014-04-27
607,2014-04-29
608,2014-04-29
609,2014-05-03
610,2014-05-03
611,2014-05-05
612,2014-05-06
613,2014-05-06
614,2014-05-06
615,2014-05-08
616,2014-05-11
617,2014-05-12
618,2014-05-12
619,2014-05-14
620,2014-05-19
621,2014-05-19
622,2014-05-20
623,2014-05-20
624,2014-05-20
625,2014-05-22
626,2014-05-23
627,2014-05-23
628,2014-05-23
629,2014-05-23
630,2014-05-23
631,2014-05-23
632,2014-05-26
633,2014-05-27
634,2014-06-03
635,2014-06-04
636,2014-06-05
637,2014-06-06
638,2014-06-09
639,2014-06-15
640,2014-06-15
641,2014-06-16
642,2014-06-16
643,2014-06-16
644,2014-06-17
645,2014-06-25
646,2014-07-02
647,2014-07-02
648,2014-07-02
649,2014-07-02
650,2014-07-04
651,2014-07-04
652,2014-07-07
653,2014-07-07
654,2014-07-07
655,2014-07-07
656,2014-07-07
657,2014-07-08
658,2014-07-09
659,2014-07-10
660,2014-07-10
661,2014-07-12
662,2014-07-13
663,2014-07-18
664,2014-07-24
665,2014-07-24
666,2014-07-24
667,2014-07-26
668,2014-08-01
669,2014-08-01
670,2014-08-01
671,2014-08-01
672,2014-08-01
673,2014-08-01
674,2014-08-01
675,2014-08-01
676,2014-08-01
677,2014-08-01
678,2014-08-01
679,2014-08-01
680,2014-08-01
681,2014-08-01
682,2014-08-04
683,2014-08-13
684,2014-08-14
685,2014-08-18
686,2014-08-19
687,2014-08-19
688,2014-08-19
689,2014-08-19
690,2014-08-19
691,2014-08-19
692,2014-08-19
693,2014-08-21
694,2014-08-25
695,2014-08-25
696,2014-08-25
697,2014-08-27
698,2014-08-29
699,2014-09-02
700,2014-09-16
701,2014-09-17
702,2014-09-17
703,2014-09-25
704,2014-09-29
705,2014-10-01
706,2014-10-06
707,2014-10-10
708,2014-10-10
709,2014-10-13
710,2014-10-15
711,2014-10-15
712,2014-10-15
713,2014-10-18
714,2014-10-19
715,2014-10-23
716,2014-11-06
717,2014-11-06
718,2014-11-06
719,2014-11-06
720,2014-11-06
721,2014-11-10
722,2014-11-11
723,2014-11-14
724,2014-11-15
725,2014-11-20
726,2014-12-01
727,2014-12-01
728,2014-12-01
729,2014-12-01
730,2014-12-18
731,2014-12-18
732,2014-12-28
733,2015-01-08
734,2015-01-09
735,2015-01-09
736,2015-01-12
737,2015-01-12
738,2015-01-13
739,2015-01-16
740,2015-01-17
741,2015-01-20
742,2015-02-11
743,2015-02-11
744,2015-02-13
745,2015-03-08
746,2015-03-08
747,2015-03-08
748,2015-03-19
749,2015-03-19
750,2015-04-04
751,2015-05-03
752,2015-05-08
753,2015-05-08
754,2015-05-08
755,2015-05-08
756,2015-05-08
757,2015-05-08
758,2015-05-08
759,2015-05-08
760,2015-05-18
761,2015-05-25
762,2015-05-30
763,2015-06-12
764,2015-06-13
765,2015-07-10
766,2015-07-10
767,2015-07-10
768,2015-07-10
769,2015-07-10
770,2015-07-10
771,2015-07-10
772,2015-07-10
773,2015-07-10
774,2015-07-10
775,2015-07-10
776,2015-07-10
777,2015-07-10
778,2015-07-11
779,2015-07-22
780,2015-08-07
781,2015-08-07
782,2015-08-07
783,2015-08-07
784,2015-08-07
785,2015-08-07
786,2015-08-07
787,2015-08-07
788,2015-08-07
789,2015-08-07
790,2015-08-07
791,2015-08-14
792,2015-08-14
793,2015-08-16
794,2015-08-19
795,2015-09-11
796,2015-09-11
797,2015-09-11
798,2015-09-11
799,2015-09-11
800,2015-09-11
801,2015-09-11
802,2015-09-11
803,2015-09-23
804,2015-10-01
805,2015-10-01
806,2015-10-15
807,2015-10-26
808,2015-11-07
809,2015-11-11
810,2015-11-11
811,2015-11-11
812,2015-11-11
813,2015-11-15
814,2015-11-15
815,2015-11-15
816,2015-11-15
817,2015-11-15
818,2015-11-15
819,2015-11-15
820,2015-11-15
821,2015-11-20
822,2015-11-20
823,2015-11-20
824,2015-11-24
825,2015-11-24
826,2015-11-24
827,2015-11-24
828,2015-11-24
829,2015-11-24
830,2015-11-24
831,2015-11-24
832,2015-11-24
833,2015-11-24
834,2015-11-24
835,2015-11-28
836,2015-12-02
837,2015-12-09
838,2015-12-09
839,2015-12-09
840,2015-12-09
841,2015-12-23
842,2015-12-25
843,2015-12-25
844,2015-12-25
845,2015-12-25
846,2015-12-25
847,2015-12-25
848,2015-12-25
849,2015-12-25
850,2015-12-25
851,2015-12-25
852,2015-12-25
853,2015-12-25
854,2015-12-25
855,2015-12-25
856,2015-12-25
857,2016-01-04
858,2016-01-05
859,2016-01-14
860,2016-01-27
861,2016-01-27
862,2016-01-27
863,2016-01-28
864,2016-02-04
865,2016-02-05
866,2016-02-05
867,2016-02-13
868,2016-02-14
869,2016-02-26
870,2016-02-26
871,2016-03-01
872,2016-03-14
873,2016-04-09
874,2016-04-24
875,2016-04-28
876,2016-04-28
877,2016-04-29
878,2016-05-13
879,2016-06-18
880,2016-07-02
881,2016-07-02
882,2016-07-20
883,2016-08-22
884,2016-09-17
885,2016-10-03
886,2016-10-17
887,2016-10-17
888,2016-10-17
889,2016-10-19
890,2016-10-25
891,2016-10-31
892,2016-11-11
893,2016-11-11
894,2016-11-30
895,2016-11-30
896,2016-11-30
897,2016-11-30
898,2016-11-30
899,2016-11-30
900,2016-11-30
901,2016-11-30
902,2016-11-30
903,2016-12-10
904,2016-12-10
905,2016-12-10
906,2016-12-10
907,2016-12-10
908,2016-12-16
909,2016-12-16
910,2016-12-16
911,2016-12-16
912,2016-12-29
913,2016-12-30
914,2017-01-08
915,2017-01-08
916,2017-01-08
917,2017-01-08
918,2017-01-08
919,2017-01-08
920,2017-01-08
921,2017-01-21
922,2017-01-21
923,2017-01-27
924,2017-01-27
925,2017-01-27
926,2017-01-27
927,2017-01-29
928,2017-01-29
929,2017-01-29
930,2017-01-29
931,2017-01-29
932,2017-01-29
933,2017-01-29
934,2017-01-29
935,2017-01-29
936,2017-01-31
937,2017-02-11
938,2017-02-20
939,2017-03-06
940,2017-03-11
941,2017-03-11
942,2017-03-21
943,2017-03-21
944,2017-03-22
