row_index,hardware_name,hardware_index,hardware_price_usd,date,Mhash/s/$,Mhash/J
195,Avalon chips,20,,2013-06-12,300000,unknown
198,AVALON CHIPs,20,8.353,2013-06-13,300000,unknown
209,Terrahash DX,74,105.24,2013-06-19,180000,140
213,KNC SATURN,54,,2013-06-23,500000,400
217,KNC Miner Saturn,54,395.04,2013-06-26,500000,400
219,XFX 6770,124,,2013-06-27,211,unknown
220,Jupiter KNCMiner,54,,2013-06-28,500000,400
235,KNC Jupiter,54,7000,2013-07-07,500000,400
241,2 KnC Jupiter 400Gh/s,54,90.03,2013-07-14,500000,400
280,Baby Jet,50,,2013-08-16,400000,909
290,Monarch,30,,2013-08-20,700000,1428
315,KnCMiner,54,,2013-09-15,500000,400
316,BitFury,34,,2013-09-15,unknown,unknown
319,Bitmine,35,,2013-09-17,85000,unknown
320,Cointerra,40,,2013-09-17,160000,unknown
322,HashFast,51,150,2013-09-19,120000,909
324,HashFast,51,,2013-09-22,120000,909
327,HashFast Sierra,52,,2013-09-22,200000,909
330,Bitfury miner,34,,2013-09-23,unknown,unknown
332,HashFast Sierra,52,6000,2013-09-23,200000,909
333,HashFast Sierra,52,69,2013-09-24,200000,909
334,Cointerra Terraminer IV,40,185.79,2013-09-24,160000,unknown
335,Sierra,52,,2013-09-24,200000,909
336,Hash Fast Baby Jet,50,12.386,2013-09-24,400000,909
340,Bitmine Coincraft,35,,2013-09-26,85000,unknown
341,KnC,54,,2013-09-26,500000,400
346,KnCMiner Saturn,56,132.562,2013-09-30,250000,400
347,TerraMiner IV,40,6299,2013-10-01,160000,unknown
348,KnC Jupiter,54,,2013-10-01,500000,400
351,KnC Jupiter,54,78,2013-10-07,500000,400
352,HashFast Sierra,52,120,2013-10-09,200000,909
354,HashFast Baby Jet,50,43,2013-10-10,400000,909
355,Avalon,17,,2013-10-10,663001,107
357,Bitmine Rig,35,708,2013-10-10,85000,unknown
358,Avalon,17,,2013-10-10,663001,107
360,Terraminer IV,40,211.728,2013-10-13,160000,unknown
361,Bitmine Rig,35,70,2013-10-13,85000,unknown
364,R5 KnC Jupiter,54,,2013-10-17,500000,400
366,KnC Jupiter,54,78,2013-10-19,500000,400
368,Bitmine Rig,35,60,2013-10-23,85000,unknown
369,KnC Jupiter,54,78,2013-10-24,500000,400
374,Avalon,17,6000,2013-11-03,663001,107
375,KNC Jupiter,54,5000,2013-11-03,500000,400
383,Cointerra Terraminer IV,40,507.75,2013-11-09,160000,unknown
384,Terraminer IV,40,227.5,2013-11-10,160000,unknown
400,KnC Jupiter,54,78,2013-11-15,500000,400
408,KnCMiner Neptune,55,229.215,2013-11-26,300000,1429
411,CoinTerra ASIC,40,,2013-11-30,160000,unknown
412,BFL SC single,31,,2013-11-30,10000,unknown
416,AntMiner S1,0,,2013-12-03,180000,500
418,KnCMiner Neptune,55,160,2013-12-05,300000,1429
419,KnCMiner Neptune,55,135,2013-12-05,300000,1429
421,KNC Jupiter,54,,2013-12-06,500000,400
424,KnC Neptune,55,,2013-12-09,300000,1429
425,AntMiner S1,0,8330.0,2013-12-10,180000,500
429,KnC Neptune,55,44.258,2013-12-13,300000,1429
430,KNC Neptune,55,0.55,2013-12-13,300000,1429
431,Black Arrow Prospero X-3,37,130,2013-12-13,200000,1000
434,KNC Neptune,55,0.55,2013-12-19,300000,1429
437,KNC Neptune,55,0.6,2013-12-21,300000,1429
445,KnCMiner Neptune,55,,2014-01-05,300000,1429
447,Sapphire 7950s,115,,2014-01-07,212.94,1.9401
448,KNC Neptune,55,10000,2014-01-07,300000,1429
450,Black Arrow Prospero x3,37,6000,2014-01-07,200000,1000
451,Avalon Mini Rig,28,,2014-01-07,500000,185
478,Raedon 7970 cards,118,,2014-01-17,411.67,1.9060
496,5970,119,,2014-02-05,700.97,2.0053
500,Antminer S1,0,998.093,2014-02-10,180000,500
502,Antminer S1,0,945.385,2014-02-12,180000,500
503,Antminer S1,0,945.385,2014-02-12,180000,500
506,TerraMiner IV,40,,2014-02-24,160000,unknown
509,Nvidia GeForce GTX 275,223,,2014-02-25,54.375,0.232
510,Nvidia GeForce GTX 580,240,,2014-02-25,156.6,0.642
516,TerraMiner IV,40,,2014-03-02,160000,unknown
553,Antminer U1,9,,2014-03-09,1600,800
554,Antminer U2,10,,2014-03-09,2000,1000
577,AntMiner S1,0,2.919,2014-03-25,180000,500
596,ANTMINER S1,0,,2014-04-16,180000,500
599,SP30 Yukon,71,6000,2014-04-18,450000,1500
600,ANTMINER U2,10,0.0385,2014-04-19,2000,1000
601,Spondoolies-tech SP10,69,3600,2014-04-20,140000,1120
604,Klondike,53,,2014-04-27,5200,160
609,Antminer U2 2Gh/s USB miner,10,,2014-05-03,2000,1000
611,Monarch,30,8519,2014-05-05,700000,1428
612,S2,1,,2014-05-06,100000,900
613,Cointerra,40,,2014-05-06,160000,unknown
618,BLADE,12,950,2014-05-12,10752,129
619,Antminer s1,0,,2014-05-14,180000,500
622,Antminer S-1,0,,2014-05-20,180000,500
624,Antminer S2,1,1650,2014-05-20,100000,900
625,Antminer S2,1,1650,2014-05-22,100000,900
627,Antminer S2,1,2200,2014-05-23,100000,900
628,Antminer S2,1,1800,2014-05-23,100000,900
629,Antminer S2,1,5800,2014-05-23,100000,900
630,Spondoolies Tech SP10,69,2900,2014-05-23,140000,1120
633,Antminer S2,1,0.05110,2014-05-27,100000,900
638,Rockminer R-BOX,63,64.864,2014-06-09,110000,917
640,Antminer U2,10,,2014-06-15,2000,1000
641,SP30,71,4000,2014-06-16,450000,1500
643,asic antminer s1,0,,2014-06-16,180000,500
644,Rockminer R-Box,63,,2014-06-17,110000,917
652,Neptune,55,10000,2014-07-07,300000,1429
656,S1 Antminer,0,,2014-07-07,180000,500
657,Antminer S1,0,200,2014-07-08,180000,500
662,BTCGarden-AM-v1,39,,2014-07-13,310000,954
667,Antminer S1,0,4.38,2014-07-26,180000,500
668,RK-BOX,64,,2014-08-01,32000,711
673,Antminer S1,0,,2014-08-01,180000,500
682,Antminer S3,2,146.031,2014-08-04,441000,1300
694,AntMiner S3,2,975,2014-08-25,441000,1300
695,AntMiner S1,0,,2014-08-25,180000,500
696,AntMiner S2,1,1745,2014-08-25,100000,900
697,ASICMiner Tube,16,532.345,2014-08-27,800000,888
698,AntMiner S3+,3,349,2014-08-29,453000,1282
699,AntMiner S1,0,,2014-09-02,180000,500
702,AntMiner U2 USB STICKS,10,0.037,2014-09-17,2000,1000
703,AntMiner S3,2,399,2014-09-25,441000,1300
706,ASICMiner Prisma,14,483.027,2014-10-06,140000,1333
709,ASICMINER TUBE,16,333.71,2014-10-13,800000,888
713,KnC Jupiter,54,,2014-10-18,500000,400
714,ASICMINER TUBE,16,329.443,2014-10-19,800000,888
720,Spondoolies Tech SP10,69,,2014-11-06,140000,1120
721,Spondoolies Tech SP20,70,,2014-11-10,170000,1545
722,ANTMINER U3,11,57.308,2014-11-11,63000,1000
723,ASICMiner Prisma,14,587.853,2014-11-14,140000,1333
724,ASICMiner Prisma,14,579.209,2014-11-15,140000,1333
725,KNC Neptune,55,213.882,2014-11-20,300000,1429
729,Ant S1,0,,2014-12-01,180000,500
730,Lancelot,89,500,2014-12-18,40011,unknown
731,Icarus,87,160,2014-12-18,3809,19.79
734,Antminer S5,5,480,2015-01-09,115500,1957
735,AntMiner S3,2,6,2015-01-09,441000,1300
738,AntMiner S5,5,404,2015-01-13,115500,1957
741,Antminer S3,2,,2015-01-20,441000,1300
743,Spondoolies Tech SP35,73,,2015-02-11,550000,1506
748,Ant S3,2,,2015-03-19,441000,1300
749,Antminer S5,5,,2015-03-19,115500,1957
753,U3,11,,2015-05-08,63000,1000
756,S3+,3,,2015-05-08,453000,1282
757,Antminer U2,10,,2015-05-08,2000,1000
759,KNC mercury,57,,2015-05-08,100000,unknown
760,S5,5,362.50,2015-05-18,115500,1957
761,BITMAIN ANTMINER U3,11,,2015-05-25,63000,1000
770,Antminer S3,2,360,2015-07-10,441000,1300
772,Antminer S2,1,,2015-07-10,100000,900
773,U2,10,,2015-07-10,2000,1000
774,S5,5,,2015-07-10,115500,1957
775,S3,2,,2015-07-10,441000,1300
777,Antminer S1,0,,2015-07-10,180000,500
779,S5,5,,2015-07-22,115500,1957
782,USB-FPGA Module 1.15y,95,,2015-08-07,86017,unknown
783,Bitman Antminers S3,2,,2015-08-07,441000,1300
785,Bitman Antminers S4,4,,2015-08-07,200000,1429
787,Bitman Antminers S5,5,,2015-08-07,115500,1957
793,Antminer U3,11,,2015-08-16,63000,1000
800,S9,8,,2015-09-11,140000,10182
802,S5+,6,,2015-09-11,772200,2247
809,S5,5,,2015-11-11,115500,1957
813,S7,7,,2015-11-15,486000,4000
816,antminer U2,10,,2015-11-15,2000,1000
818,Antminer S5,5,,2015-11-15,115500,1957
820,Antminer S7,7,,2015-11-15,486000,4000
821,S5,5,,2015-11-20,115500,1957
830,S5,5,,2015-11-24,115500,1957
832,S3,2,,2015-11-24,441000,1300
836,Spondoolies Tech SP 20,70,,2015-12-02,170000,1545
840,S3,2,,2015-12-09,441000,1300
859,Antminer S4,4,,2016-01-14,200000,1429
860,Antminer S7,7,1369,2016-01-27,486000,4000
861,Avalon6,22,1100,2016-01-27,350000,unknown
862,Antminer S7,7,1299,2016-01-27,486000,4000
869,Antminer S2,1,,2016-02-26,100000,900
870,Antminer S1,0,,2016-02-26,180000,500
872,ANTMINER S5+,6,2475,2016-03-14,772200,2247
874,S5,5,,2016-04-24,115500,1957
877,Antminer S7,7,,2016-04-29,486000,4000
879,Antminer S7,7,,2016-06-18,486000,4000
880,Antminer S7,7,,2016-07-02,486000,4000
881,Antminer S5,5,,2016-07-02,115500,1957
882,S7 miner,7,,2016-07-20,486000,4000
887,Antminer S5,5,,2016-10-17,115500,1957
889,AntMiner U3,11,,2016-10-19,63000,1000
890,Antminer s9,8,,2016-10-25,140000,10182
893,Antminer s5,5,,2016-11-11,115500,1957
904,ANTMINER S2,1,,2016-12-10,100000,900
905,Antminer S3,2,,2016-12-10,441000,1300
906,Antminer S1,0,,2016-12-10,180000,500
908,S9,8,,2016-12-16,140000,10182
909,S7,7,,2016-12-16,486000,4000
912,Antminer S9,8,,2016-12-29,140000,10182
913,AntMiner S7,7,,2016-12-30,486000,4000
916,S1,0,,2017-01-08,180000,500
917,s7,7,,2017-01-08,486000,4000
918,s9,8,,2017-01-08,140000,10182
923,bitcoin miner s5,5,,2017-01-27,115500,1957
927,AvalonMiner 721,23,,2017-01-29,600000,6000
929,Avalon A6,22,,2017-01-29,350000,unknown
940,Antminer S7,7,,2017-03-11,486000,4000
942,S9,8,175,2017-03-21,140000,10182
948,s9s,8,,2017-05-09,140000,10182
956,Cointerra,40,,2017-06-08,160000,unknown
957,Antminer S3+,3,,2017-07-05,453000,1282
958,Spondoolies SP20,70,,2017-07-05,170000,1545
959,Antminer S5,5,,2017-07-05,115500,1957
960,Avalon 6,22,,2017-07-05,350000,unknown
961,Antminer S9,8,,2017-07-05,140000,10182
962,Antminer S5,5,250,2017-07-05,115500,1957
963,Antminer S7,7,400,2017-07-05,486000,4000
964,Antminer S4,4,,2017-07-05,200000,1429
965,Cointerra Terraminers,40,,2017-07-05,160000,unknown
969,Black Arrow,36,,2017-07-21,100000,1000
975,Canaan Avalon 741,24,714,2017-07-21,730000,6350
978,S7,7,,2017-08-01,486000,4000
979,S3+,3,,2017-08-01,453000,1282
981,Antminer S7,7,,2017-08-25,486000,4000
986,S9,8,,2017-09-02,140000,10182
987,S9,8,,2017-09-02,140000,10182
989,S9,8,,2017-09-21,140000,10182
990,AntMiner S2,1,23328.18,2017-09-27,100000,900
993,S9,8,,2017-10-22,140000,10182
