TH/J
0.000001906
0.000001726
0.000002005
0.000001906
0.000001819
0.000001906
0.000002005
0.000001906
0.000002005
0.000001906
0.000001819
0.000001906
0.000001819
0.000000067
0.000002005
0.000001906
0.000001906
0.000001819
0.000001819
0.000001545
0.000000131
0.000001906
0.000001906
0.000001906
0.000001545
0.000001545
0.000001819
0.00000194
0.000001545
0.000001819
0.000001819
0.000001545
0.000001906
0.0000014
0.000001819
0.000001545
0.000001545
0.000001819
0.000001545
0.0000206
0.000001851
0.000001819
0.000001545
0.000001819
0.000001819
0.00000194
0.000001545
0.000001545
0.000000427
0.000000084
0.000001545
0.000001545
0.000001545
0.000001851
0.000001545
0.000002005
0.000001906
0.000002005
0.00002325
0.00002325
0.0000104
0.0000014
0.000001545
0.0000104
0.000001545
0.00000194
0.000001819
0.000002005
0.00025
0.00002
0.00025
0.000001545
0.00000194
0.000001851
0.000001819
0.00025
0.00001979
0.00025
0.000002005
0.00000194
0.000001726
0.00025
0.00025
0.00025
0.000001467
0.00025
0.00000194
0.00025
0.00025
0.00016
0.00025
0.00014
0.0004
0.0004
0.0004
0.0004
0.0004
0.000909
0.001428
0.0004
0.000909
0.000909
0.000909
0.000909
0.000909
0.000909
0.000909
0.0004
0.0004
0.0004
0.0004
0.000909
0.000909
0.000107
0.000107
0.0004
0.0004
0.0004
0.000107
0.0004
0.0004
0.001429
0.0005
0.001429
0.001429
0.0004
0.001429
0.0005
0.001429
0.001429
0.001
0.001429
0.001429
0.001429
0.00000194
0.001429
0.001
0.000185
0.000001906
0.000002005
0.0005
0.0005
0.0005
0.000000232
0.000000642
0.0008
0.001
0.0005
0.0005
0.0015
0.001
0.00112
0.00016
0.001
0.001428
0.0009
0.000129
0.0005
0.0005
0.0009
0.0009
0.0009
0.0009
0.0009
0.00112
0.0009
0.000917
0.001
0.0015
0.0005
0.000917
0.001429
0.0005
0.0005
0.000954
0.0005
0.000711
0.0005
0.0013
0.0013
0.0005
0.0009
0.000888
0.001282
0.0005
0.001
0.0013
0.001333
0.000888
0.0004
0.000888
0.00112
0.001545
0.001
0.001333
0.001333
0.001429
0.0005
0.00001979
0.001957
0.0013
0.001957
0.0013
0.001506
0.0013
0.001957
0.001
0.001282
0.001
0.001957
0.001
0.0013
0.0009
0.001
0.001957
0.0013
0.0005
0.001957
0.0013
0.001429
0.001957
0.001
0.010182
0.002247
0.001957
0.004
0.001
0.001957
0.004
0.001957
0.001957
0.0013
0.001545
0.0013
0.001429
0.004
0.004
0.0009
0.0005
0.002247
0.001957
0.004
0.004
0.004
0.001957
0.004
0.001957
0.001
0.010182
0.001957
0.0009
0.0013
0.0005
0.010182
0.004
0.010182
0.004
0.0005
0.004
0.010182
0.001957
0.006
0.004
0.010182
0.010182
0.001282
0.001545
0.001957
0.010182
0.001957
0.004
0.001429
0.001
0.00635
0.004
0.001282
0.004
0.010182
0.010182
0.010182
0.0009
0.010182
0.010182
0.00635
0.010182
0.001957
0.010182
0.010182
0.0009
0.0005
0.010182
0.00635
0.010182
0.010182
0.010182
0.004
0.010182
0.010182
0.00635
0.010182
0.010182
0.010182
0.010182
0.010182
0.010182
0.010182
0.010182
0.010182
0.010182
0.010182
0.010182
0.010182
0.00635
0.006
0.00917
0.006
0.001
0.00917
0.010182
0.010182
0.010182
0.010182
0.0005
0.001957
