month,speculation,adoption,altcoins,none,posts_count
2010-01,0.0,0.9090909090909091,0.0,0.09090909090909091,11
2010-02,0.0,1.0,0.0,0.0,13
2010-03,0.0,0.8888888888888888,0.0,0.1111111111111111,9
2010-04,0.0,0.9,0.0,0.1,10
2010-05,0.3333333333333333,0.6666666666666666,0.0,0.0,3
2010-06,0.0,0.9375,0.0,0.0625,16
2010-07,0.02247191011235955,0.898876404494382,0.0,0.07865168539325842,89
2010-08,0.022988505747126436,0.7931034482758621,0.011494252873563218,0.1724137931034483,87
2010-09,0.024390243902439025,0.8048780487804879,0.0,0.17073170731707318,41
2010-10,0.05,0.7666666666666667,0.0,0.18333333333333332,60
2010-11,0.04424778761061947,0.7522123893805309,0.008849557522123894,0.19469026548672566,113
2010-12,0.02857142857142857,0.7904761904761904,0.0,0.18095238095238095,105
2011-01,0.010869565217391304,0.8043478260869565,0.010869565217391304,0.17391304347826086,92
2011-02,0.06535947712418301,0.6797385620915033,0.0,0.2549019607843137,153
2011-03,0.034482758620689655,0.7370689655172413,0.0,0.22844827586206898,232
2011-04,0.07407407407407407,0.632996632996633,0.003367003367003367,0.2895622895622896,297
2011-05,0.08020477815699659,0.6245733788395904,0.0017064846416382253,0.2935153583617747,586
2011-06,0.15040650406504066,0.421239837398374,0.007621951219512195,0.42073170731707316,1968
2011-07,0.0963855421686747,0.5734939759036145,0.0024096385542168677,0.327710843373494,830
2011-08,0.08760330578512397,0.512396694214876,0.009917355371900827,0.39008264462809916,605
2011-09,0.06406685236768803,0.5682451253481894,0.016713091922005572,0.35097493036211697,359
2011-10,0.0821917808219178,0.5917808219178082,0.0027397260273972603,0.3232876712328767,365
2011-11,0.055793991416309016,0.6180257510729614,0.0,0.3261802575107296,233
2011-12,0.03763440860215054,0.6935483870967742,0.0,0.26881720430107525,186
2012-01,0.06334841628959276,0.6470588235294118,0.01809954751131222,0.27149321266968324,221
2012-02,0.06179775280898876,0.6404494382022472,0.0056179775280898875,0.29213483146067415,178
2012-03,0.07860262008733625,0.6681222707423581,0.0,0.25327510917030566,229
2012-04,0.02185792349726776,0.6939890710382514,0.00546448087431694,0.2786885245901639,183
2012-05,0.030303030303030304,0.6320346320346321,0.004329004329004329,0.3333333333333333,231
2012-06,0.025423728813559324,0.6779661016949152,0.00423728813559322,0.2923728813559322,236
2012-07,0.039647577092511016,0.6475770925110133,0.0,0.31277533039647576,227
2012-08,0.06321839080459771,0.5977011494252874,0.0,0.3390804597701149,174
2012-09,0.05485232067510549,0.6455696202531646,0.0,0.29957805907172996,237
2012-10,0.07462686567164178,0.6940298507462687,0.007462686567164179,0.22388059701492538,134
2012-11,0.013513513513513514,0.6554054054054054,0.006756756756756757,0.32432432432432434,148
2012-12,0.01639344262295082,0.6557377049180327,0.0,0.32786885245901637,122
2013-01,0.0625,0.7291666666666666,0.0,0.20833333333333334,144
2013-02,0.07272727272727272,0.7727272727272727,0.0,0.15454545454545454,220
2013-03,0.1056338028169014,0.6408450704225352,0.002347417840375587,0.2511737089201878,426
2013-04,0.14186369958275383,0.6411682892906815,0.008344923504867872,0.2086230876216968,719
2013-05,0.05405405405405406,0.6587837837837838,0.02364864864864865,0.2635135135135135,592
2013-06,0.05063291139240506,0.6531645569620254,0.007594936708860759,0.28860759493670884,395
2013-07,0.044444444444444446,0.7037037037037037,0.011111111111111112,0.24074074074074073,270
2013-08,0.03202846975088968,0.6725978647686833,0.010676156583629894,0.2846975088967972,281
2013-09,0.04,0.7111111111111111,0.0044444444444444444,0.24444444444444444,225
2013-10,0.06451612903225806,0.6082949308755761,0.004608294930875576,0.3225806451612903,217
2013-11,0.1016949152542373,0.5988700564971752,0.015536723163841809,0.2838983050847458,708
2013-12,0.0888030888030888,0.6872586872586872,0.01287001287001287,0.21106821106821108,777
2014-01,0.06227106227106227,0.7032967032967034,0.02442002442002442,0.21001221001221002,819
2014-02,0.09415262636273539,0.5361744301288405,0.017839444995044598,0.3518334985133796,1009
2014-03,0.08131868131868132,0.5230769230769231,0.013186813186813187,0.3824175824175824,910
2014-04,0.07898894154818326,0.6619273301737757,0.01263823064770932,0.24644549763033174,633
2014-05,0.08860759493670886,0.6329113924050633,0.012658227848101266,0.26582278481012656,553
2014-06,0.08269230769230769,0.7134615384615385,0.011538461538461539,0.19230769230769232,520
2014-07,0.0548885077186964,0.6998284734133791,0.017152658662092625,0.2281303602058319,583
2014-08,0.09650924024640657,0.6550308008213552,0.006160164271047228,0.24229979466119098,487
2014-09,0.07708333333333334,0.6583333333333333,0.016666666666666666,0.24791666666666667,480
2014-10,0.06976744186046512,0.6705426356589147,0.027131782945736434,0.23255813953488372,516
2014-11,0.06140350877192982,0.6608187134502924,0.0029239766081871343,0.27485380116959063,342
2014-12,0.05314009661835749,0.6642512077294686,0.016908212560386472,0.26570048309178745,414
2015-01,0.1574468085106383,0.5680851063829787,0.00851063829787234,0.26595744680851063,470
2015-02,0.06802721088435375,0.6303854875283447,0.018140589569160998,0.2834467120181406,441
2015-03,0.05026455026455026,0.6693121693121693,0.005291005291005291,0.2751322751322751,378
2015-04,0.04644808743169399,0.639344262295082,0.01639344262295082,0.2978142076502732,366
2015-05,0.043343653250773995,0.6749226006191951,0.009287925696594427,0.2724458204334365,323
2015-06,0.0513595166163142,0.7341389728096677,0.00906344410876133,0.2054380664652568,331
2015-07,0.06398104265402843,0.7203791469194313,0.0071090047393364926,0.20853080568720378,422
2015-08,0.04927007299270073,0.6934306569343066,0.009124087591240875,0.24817518248175183,548
