month,positive,neutral,negative,strongly negative,strongly positive
2010-01,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0
2010-02,0.07692307692307693,0.9230769230769231,0.0,0.0,0.0
2010-03,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
2010-04,0.2,0.8,0.0,0.0,0.0
2010-05,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
2010-06,0.1875,0.75,0.0625,0.0,0.0
2010-07,0.1348314606741573,0.8426966292134831,0.02247191011235955,0.0,0.0
2010-08,0.20689655172413793,0.7011494252873564,0.09195402298850575,0.0,0.0
2010-09,0.4146341463414634,0.5853658536585366,0.0,0.0,0.0
2010-10,0.36666666666666664,0.55,0.08333333333333333,0.0,0.0
2010-11,0.3185840707964602,0.6194690265486725,0.061946902654867256,0.0,0.0
2010-12,0.19047619047619047,0.7523809523809524,0.05714285714285714,0.0,0.0
2011-01,0.29347826086956524,0.6739130434782609,0.03260869565217391,0.0,0.0
2011-02,0.20915032679738563,0.738562091503268,0.05228758169934641,0.0,0.0
2011-03,0.21982758620689655,0.7241379310344828,0.05603448275862069,0.0,0.0
2011-04,0.2222222222222222,0.7037037037037037,0.07407407407407407,0.0,0.0
2011-05,0.21331058020477817,0.6962457337883959,0.09044368600682594,0.0,0.0
2011-06,0.18445121951219512,0.616869918699187,0.19867886178861788,0.0,0.0
2011-07,0.27349397590361446,0.5662650602409639,0.1602409638554217,0.0,0.0
2011-08,0.23801652892561984,0.596694214876033,0.1652892561983471,0.0,0.0
2011-09,0.31754874651810583,0.5292479108635098,0.1532033426183844,0.0,0.0
2011-10,0.3150684931506849,0.5260273972602739,0.1589041095890411,0.0,0.0
2011-11,0.33476394849785407,0.5407725321888412,0.12446351931330472,0.0,0.0
2011-12,0.4032258064516129,0.4838709677419355,0.11290322580645161,0.0,0.0
2012-01,0.28054298642533937,0.5882352941176471,0.13122171945701358,0.0,0.0
2012-02,0.29775280898876405,0.5955056179775281,0.10674157303370786,0.0,0.0
2012-03,0.24890829694323144,0.6419213973799127,0.1091703056768559,0.0,0.0
2012-04,0.37158469945355194,0.5191256830601093,0.1092896174863388,0.0,0.0
2012-05,0.2597402597402597,0.6493506493506493,0.09090909090909091,0.0,0.0
2012-06,0.3135593220338983,0.6059322033898306,0.08050847457627118,0.0,0.0
2012-07,0.2907488986784141,0.6079295154185022,0.1013215859030837,0.0,0.0
2012-08,0.25862068965517243,0.632183908045977,0.10919540229885058,0.0,0.0
2012-09,0.2109704641350211,0.6371308016877637,0.1518987341772152,0.0,0.0
2012-10,0.3208955223880597,0.5597014925373134,0.11940298507462686,0.0,0.0
2012-11,0.38513513513513514,0.5337837837837838,0.08108108108108109,0.0,0.0
2012-12,0.32786885245901637,0.5655737704918032,0.10655737704918032,0.0,0.0
2013-01,0.4236111111111111,0.4930555555555556,0.08333333333333333,0.0,0.0
2013-02,0.3409090909090909,0.6181818181818182,0.04090909090909091,0.0,0.0
2013-03,0.31690140845070425,0.5657276995305164,0.11737089201877934,0.0,0.0
2013-04,0.30180806675938804,0.5549374130737135,0.14325452016689846,0.0,0.0
2013-05,0.2652027027027027,0.6165540540540541,0.11824324324324324,0.0,0.0
2013-06,0.2759493670886076,0.6329113924050633,0.09113924050632911,0.0,0.0
2013-07,0.26666666666666666,0.6074074074074074,0.1259259259259259,0.0,0.0
2013-08,0.2313167259786477,0.6476868327402135,0.12099644128113879,0.0,0.0
2013-09,0.27555555555555555,0.5866666666666667,0.13777777777777778,0.0,0.0
2013-10,0.3087557603686636,0.5852534562211982,0.10599078341013825,0.0,0.0
2013-11,0.2401129943502825,0.576271186440678,0.18220338983050846,0.0014124293785310734,0.0
2013-12,0.323037323037323,0.5328185328185329,0.14414414414414414,0.0,0.0
2014-01,0.36507936507936506,0.5128205128205128,0.1221001221001221,0.0,0.0
2014-02,0.26461843409316155,0.48761149653121905,0.244796828543112,0.002973240832507433,0.0
2014-03,0.256043956043956,0.5604395604395604,0.1835164835164835,0.0,0.0
2014-04,0.30963665086887837,0.5576619273301737,0.13270142180094788,0.0,0.0
2014-05,0.3345388788426763,0.515370705244123,0.14828209764918626,0.0018083182640144665,0.0
2014-06,0.38076923076923075,0.48653846153846153,0.13076923076923078,0.0019230769230769232,0.0
2014-07,0.34305317324185247,0.5283018867924528,0.12864493996569468,0.0,0.0
2014-08,0.3347022587268994,0.5318275154004107,0.13347022587268995,0.0,0.0
2014-09,0.30416666666666664,0.55625,0.13958333333333334,0.0,0.0
2014-10,0.28294573643410853,0.5581395348837209,0.15891472868217055,0.0,0.0
2014-11,0.3157894736842105,0.5730994152046783,0.10526315789473684,0.005847953216374269,0.0
2014-12,0.35507246376811596,0.5265700483091788,0.11835748792270531,0.0,0.0
2015-01,0.26170212765957446,0.5191489361702127,0.21914893617021278,0.0,0.0
2015-02,0.2834467120181406,0.5396825396825397,0.17687074829931973,0.0,0.0
2015-03,0.3148148148148148,0.5502645502645502,0.1349206349206349,0.0,0.0
2015-04,0.3087431693989071,0.5409836065573771,0.15027322404371585,0.0,0.0
2015-05,0.25077399380804954,0.6160990712074303,0.13312693498452013,0.0,0.0
2015-06,0.2719033232628399,0.6012084592145015,0.1268882175226586,0.0,0.0
2015-07,0.28199052132701424,0.5781990521327014,0.13981042654028436,0.0,0.0
2015-08,0.2208029197080292,0.614963503649635,0.16423357664233576,0.0,0.0
2015-09,0.18823529411764706,0.6558823529411765,0.15588235294117647,0.0,0.0
2015-10,0.29389312977099236,0.5419847328244275,0.16412213740458015,0.0,0.0
2015-11,0.26443768996960487,0.601823708206687,0.1337386018237082,0.0,0.0
2015-12,0.191044776119403,0.6358208955223881,0.17313432835820897,0.0,0.0
2016-01,0.22958057395143489,0.5783664459161147,0.19205298013245034,0.0,0.0
2016-02,0.2445054945054945,0.6236263736263736,0.13186813186813187,0.0,0.0
2016-03,0.2007042253521127,0.6443661971830986,0.15492957746478872,0.0,0.0
2016-04,0.2653061224489796,0.5816326530612245,0.15306122448979592,0.0,0.0
2016-05,0.22014051522248243,0.5784543325526932,0.20140515222482436,0.0,0.0
2016-06,0.2646239554317549,0.5682451253481894,0.1671309192200557,0.0,0.0
2016-07,0.2804878048780488,0.5792682926829268,0.1402439024390244,0.0,0.0
2016-08,0.22297297297297297,0.6182432432432432,0.15878378378378377,0.0,0.0
2016-09,0.24663677130044842,0.6098654708520179,0.14349775784753363,0.0,0.0
2016-10,0.26521739130434785,0.6173913043478261,0.11739130434782609,0.0,0.0
2016-11,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,0.0
2016-12,0.22272727272727272,0.5909090909090909,0.18636363636363637,0.0,0.0
2017-01,0.2546583850931677,0.5807453416149069,0.16459627329192547,0.0,0.0
2017-02,0.1952662721893491,0.6005917159763313,0.20414201183431951,0.0,0.0
2017-03,0.16188870151770657,0.6172006745362564,0.2209106239460371,0.0,0.0
2017-04,0.2004950495049505,0.5742574257425742,0.22524752475247525,0.0,0.0
2017-05,0.23029045643153526,0.578838174273859,0.1908713692946058,0.0,0.0
