"DateTime","Estimated TWh per Year","Minimum TWh per Year"
"2017-02-10 00:00:00",9.585659450679186,3.3310264288126463
"2017-02-11 00:00:00",9.547335368239203,3.3162273608362507
"2017-02-12 00:00:00",9.578774259392976,3.1989691439198245
"2017-02-13 00:00:00",9.476506125920533,3.0451782162051377
"2017-02-14 00:00:00",9.54480731636689,3.1500624504318755
"2017-02-15 00:00:00",9.569005512933579,3.33743990259
"2017-02-16 00:00:00",9.3921701345508,3.3303690553387506
"2017-02-17 00:00:00",9.323758505112954,3.2384480410725005
"2017-02-18 00:00:00",9.326973591870521,3.1733206449216476
"2017-02-19 00:00:00",9.319239357875373,3.189253456398461
"2017-02-20 00:00:00",9.290790165838649,3.2704612990382373
"2017-02-21 00:00:00",9.439585293899752,3.2077097842711377
"2017-02-22 00:00:00",9.509756965194407,3.0822067547369385
"2017-02-23 00:00:00",9.50711045243109,3.1191194104822917
"2017-02-24 00:00:00",9.47455460913512,3.0305290366934456
"2017-02-25 00:00:00",9.634632122539282,3.2372399088674197
"2017-02-26 00:00:00",9.826988512652326,3.37750800069976
"2017-02-27 00:00:00",10.146076490152977,3.7835472138986375
"2017-02-28 00:00:00",10.187615518100534,3.6765005122371157
"2017-03-01 00:00:00",10.233585108322497,3.621131528619085
"2017-03-02 00:00:00",10.428110774917792,3.366434203976154
"2017-03-03 00:00:00",10.421708305087533,3.361434959680261
"2017-03-04 00:00:00",10.40034133039608,3.3338867322046144
"2017-03-05 00:00:00",10.403793585077066,3.4264946969880765
"2017-03-06 00:00:00",10.403279298721822,3.345462727802548
"2017-03-07 00:00:00",10.405584979559988,3.3261694018059935
"2017-03-08 00:00:00",10.425422519220072,3.2798654194142634
"2017-03-09 00:00:00",10.472803280467142,3.407201370991523
"2017-03-10 00:00:00",10.371933810251516,3.434212027386698
"2017-03-11 00:00:00",10.373199274079555,3.5383959877680935
"2017-03-12 00:00:00",10.319773508564564,3.3840493797956572
"2017-03-13 00:00:00",10.300867937127393,3.5576893137646466
"2017-03-14 00:00:00",10.35088549293549,3.4419293577853205
"2017-03-15 00:00:00",10.45485537975407,3.615569291754312
"2017-03-16 00:00:00",10.45756390769387,3.3647560537991024
"2017-03-17 00:00:00",10.498495306635657,3.4380600537887314
"2017-03-18 00:00:00",10.495073751457035,3.441954730624616
"2017-03-19 00:00:00",10.134133493651296,3.784556706126603
"2017-03-20 00:00:00",10.43623165172382,3.804475425632532
"2017-03-21 00:00:00",10.759455676672651,3.645125669585097
"2017-03-22 00:00:00",10.797738454615923,3.4817921696364733
"2017-03-23 00:00:00",10.444763422445765,3.4658571940317313
"2017-03-24 00:00:00",10.175564379397146,3.4658571940317295
"2017-03-25 00:00:00",9.588048923563074,3.7546084885014093
"2017-03-26 00:00:00",9.726005669704298,3.649109413486282
"2017-03-27 00:00:00",9.921831996866278,3.704881828102883
"2017-03-28 00:00:00",10.434715146614993,3.473824681834103
"2017-03-29 00:00:00",10.443764758018846,3.7128493159052574
"2017-03-30 00:00:00",10.444552259716302,3.581953581753948
"2017-03-31 00:00:00",10.54137381002973,3.61510497216
"2017-04-01 00:00:00",10.728364796931237,3.577447628700001
"2017-04-02 00:00:00",10.669187697905144,3.6067366736133337
"2017-04-03 00:00:00",10.794943134848285,3.5774476287000003
"2017-04-04 00:00:00",10.888341210271458,3.748997748906667
"2017-04-05 00:00:00",10.92008557190443,3.8452331821933345
"2017-04-06 00:00:00",10.951534440134465,3.8703380778333356
"2017-04-07 00:00:00",10.958124027389735,3.7177023883462823
"2017-04-08 00:00:00",10.852988258113513,3.7657343460000003
"2017-04-09 00:00:00",10.998524073340057,3.8075758387333334
"2017-04-10 00:00:00",11.002822128182016,3.85360148074
"2017-04-11 00:00:00",10.991708690684566,3.7615501967266667
"2017-04-12 00:00:00",11.06188623930231,3.8459678806922724
"2017-04-13 00:00:00",11.188468234292328,3.768300450872309
"2017-04-14 00:00:00",11.122377966679212,3.973289017065593
"2017-04-15 00:00:00",11.086170310099966,3.5982035555204335
"2017-04-16 00:00:00",11.201226629842536,3.598203555520433
"2017-04-17 00:00:00",11.176835986878894,3.6374566852170194
"2017-04-18 00:00:00",11.126424932941305,3.8162764982792474
"2017-04-19 00:00:00",11.119899578568893,3.7334087800308975
"2017-04-20 00:00:00",11.0948628904777,3.7595775331619556
"2017-04-21 00:00:00",11.097821674441676,3.69415565033431
"2017-04-22 00:00:00",11.150657527058456,3.8249994159895984
"2017-04-23 00:00:00",11.120162006517255,3.864252545686187
"2017-04-24 00:00:00",11.183543406370193,4.012542146762179
"2017-04-25 00:00:00",11.223272673159057,3.9165900519483015
"2017-04-26 00:00:00",11.029476294147438,3.757000249123481
"2017-04-27 00:00:00",11.078393230246173,3.7767353554800014
"2017-04-28 00:00:00",11.166591186405403,3.7242806977650007
"2017-04-29 00:00:00",11.255161162944413,3.8029626843375
"2017-04-30 00:00:00",11.363104417183655,3.9209856641962504
"2017-05-01 00:00:00",11.485688950131623,4.017152536673751
"2017-05-02 00:00:00",11.573176825698203,4.178887731295
"2017-05-03 00:00:00",11.672432292884613,4.0477510870075
"2017-05-04 00:00:00",11.734206192071277,3.942841771577502
"2017-05-05 00:00:00",11.860694451712712,3.916614442719998
"2017-05-06 00:00:00",11.865861256718505,3.8379324561475006
"2017-05-07 00:00:00",12.040602558480773,4.0739784158650005
"2017-05-08 00:00:00",12.178847672516229,4.165774066866249
"2017-05-09 00:00:00",12.416248973845326,4.365216508923797
"2017-05-10 00:00:00",12.760315364683516,4.051657293549231
