date,cost
2023-10-01,0.24633707260437565
2023-09-01,0.35991312201934605
2023-08-01,0.4161698355465998
2023-07-01,0.24938660326938716
2023-06-01,0.3127292095381105
2023-05-01,0.28312008026983104
2023-04-01,0.366428224580501
2023-03-01,0.36885515153612386
2023-02-01,0.2837298518377707
2023-01-01,0.38537022023646655
2022-12-01,0.47716208960211737
2022-11-01,0.32523326918899054
2022-10-01,0.321708574110116
2022-09-01,0.309603261721181
2022-08-01,0.2814501323259556
2022-07-01,0.2568175626031517
2022-06-01,0.20891506349555203
2022-05-01,0.14086443186083014
2022-04-01,0.11687123499427399
2022-03-01,0.10959780449412299
2022-02-01,0.13685617958088486
2022-01-01,0.11468519103802635
2021-12-01,0.07576802648155871
2021-11-01,0.06038963313414854
2021-10-01,0.0842513003572026
2021-09-01,0.06551163040086964
2021-08-01,0.0835483456740324
2021-07-01,0.08483106075559538
2021-06-01,0.06888192606996825
2021-05-01,0.08061839042637739
2021-04-01,0.08874960622556463
2021-03-01,0.12748586082013486
2021-02-01,0.14371414374784733
2021-01-01,0.15416166590963717
2020-12-01,0.268289948060287
2020-11-01,0.3986756946337645
2020-10-01,0.38610076247105285
2020-09-01,0.3550382604693772
2020-08-01,0.28321935104860196
2020-07-01,0.3463586213511986
2020-06-01,0.31030246733352473
2020-05-01,0.3467550600996306
2020-04-01,0.3419417731955439
2020-03-01,0.2108609180625371
2020-02-01,0.19514878499776878
2020-01-01,0.19415566390001127
2019-12-01,0.2566154987408826
2019-11-01,0.17040699154170422
2019-10-01,0.21903430811423327
2019-09-01,0.15932062087107401
2019-08-01,0.14924829354221053
2019-07-01,0.1277567291469732
2019-06-01,0.16280979974516785
2019-05-01,0.24226362059298773
2019-04-01,0.2546089320118012
2019-03-01,0.2608160946454011
2019-02-01,0.2847795162099858
2019-01-01,0.3079110099384091
2018-12-01,0.24830657610340257
2018-11-01,0.158280047719849
2018-10-01,0.17627979795494814
2018-09-01,0.17092591674463234
2018-08-01,0.1500713939912567
2018-07-01,0.1827224362676126
2018-06-01,0.13368964575169126
2018-05-01,0.09812222717635778
2018-04-01,0.09979311665992044
2018-03-01,0.06324554191726495
2018-02-01,0.0662886305559771
2018-01-01,0.04000944622417871
2017-12-01,0.037702395151245904
2017-11-01,0.0498561185603169
2017-10-01,0.06805162413512035
2017-09-01,0.06438639873010972
2017-08-01,0.09940198570606366
2017-07-01,0.09092016728800918
2017-06-01,0.1014737168082391
2017-05-01,0.14697783633687686
2017-04-01,0.1292765991382758
2017-03-01,0.09882852646790063
2017-02-01,0.15586425535072063
2017-01-01,0.12262481685477337
2016-12-01,0.16305257362510475
2016-11-01,0.11188895380835111
2016-10-01,0.12943849255837275
2016-09-01,0.13479114819650515
2016-08-01,0.11921041031714572
2016-07-01,0.09186629299527332
2016-06-01,0.09397437087159197
2016-05-01,0.11902003613017059
2016-04-01,0.1602531642745702
2016-03-01,0.1511835838389897
2016-02-01,0.14922265318383343
2016-01-01,0.1252573160870942
2015-12-01,0.0992146702593917
2015-11-01,0.09688115736629181
2015-10-01,0.11621590625054984
2015-09-01,0.11435320783887909
2015-08-01,0.1047373750413202
2015-07-01,0.10563913147624307
2015-06-01,0.13450398115245155
2015-05-01,0.11595304167377862
2015-04-01,0.12048295053556592
2015-03-01,0.1192782252736197
2015-02-01,0.13380643022938835
2015-01-01,0.08079187040153059
2014-12-01,0.06733793300255055
2014-11-01,0.0868293885555772
2014-10-01,0.07688765255777055
2014-09-01,0.056589602130512257
2014-08-01,0.0401552330078146
2014-07-01,0.025137161827790615
2014-06-01,0.029172129762744393
2014-05-01,0.028686590912165598
2014-04-01,0.02079163143231574
2014-03-01,0.013325324608167237
2014-02-01,0.00647390692534429
2014-01-01,0.0048782420704083125
2013-12-01,0.0021098372116036086
2013-11-01,0.005118456828246218
2013-10-01,0.004683596875461314
2013-09-01,0.002006974322780002
2013-08-01,0.0011244522644756083
2013-07-01,0.0008271716723902643
2013-06-01,0.0003099388321663688
2013-05-01,0.0003203273384985726
2013-04-01,0.0006762261195532994
2013-03-01,0.004962823344048281
2013-02-01,0.0050612462954345554
2013-01-01,0.0018876659216400305
2012-12-01,0.01832753345747588
2012-11-01,0.08852745887669744
2012-10-01,0.03365189211502516
2012-09-01,0.05578971525665985
2012-08-01,0.042626204787634944
2012-07-01,0.0604124352595012
2012-06-01,0.056618194709594845
2012-05-01,0.07728149503628859
2012-04-01,0.06436332506070289
2012-03-01,0.056154674043986184
2012-02-01,0.04751984087293936
2012-01-01,0.06308274597031961
2011-12-01,0.06345277736255038
2011-11-01,0.05485943187066688
2011-10-01,0.05791739022499216
2011-09-01,0.04447061799709828
2011-08-01,0.02713609667192505
2011-07-01,0.026793469679156565
2011-06-01,0.03785382985545409
2011-05-01,0.04787054543880253
2011-04-01,0.04544238401278718
2011-03-01,0.022356195550787494
2011-02-01,0.02460494970351457
