date,price,hashrate,coins_per_block,efficiency,max_efficiency,speculation,adoption,altcoins,none,posts_count,positive,neutral,negative,optimistic_speculation,pessimistic_speculation,financial_products,scams,bitcoin_mining,other
2023-12-31,38658.06,5.0086423768927955e+20,6.25,34412596500.0,,0.6851971557853911,0.28072175719751,0.3097551237689646,0.3656633221850613,0.10802775024777,0.3710407239819004,0.4343891402714932,0.1945701357466063,0.7389666150655723,0.2862473347547974,0.2814498933901919,0.1463219616204691,0.1881337881430489,0.3035714285714286
2023-10-31,27978.1,4.4106749777492784e+20,6.25,23880028945.454544,,0.877076411960133,0.2043938991771647,0.127359781121751,0.3427030670711156,0.1050545094152626,0.3953488372093023,0.4418604651162791,0.1627906976744186,0.8236992444253333,0.2006726457399103,0.3766816143497757,0.3932174887892377,0.10906784887846,0.3380044843049328
2023-09-30,25816.57,4.023850102769436e+20,6.25,22222540264.285713,,0.651872399445215,0.2367346590860658,0.1993860651056539,0.473054734768538,0.1005946481665014,0.3446601941747573,0.4854368932038835,0.1699029126213592,0.6947296158766811,0.2803246013667426,0.3143507972665148,0.2605353075170843,0.154336851874972,0.337034927866363
2023-08-31,29629.24,3.853479278957576e+20,6.25,18209319945.454548,,0.6349206349206349,0.3331176932674091,0.3202614379084967,0.3335875921688278,0.0832507433102081,0.3742690058479532,0.5087719298245614,0.1169590643274853,0.8737193507540002,0.3447128851540616,0.3193277310924369,0.3630952380952381,0.1452208598020387,0.2893323996265173
2023-07-31,30589.05,3.750404461633828e+20,6.25,18302265765.217392,,0.5929919137466307,0.3262544105223051,0.4305401405845356,0.3587640142193054,0.0773042616451932,0.4339622641509434,0.440251572327044,0.1257861635220125,0.827642608873441,0.1335820895522388,0.3761194029850746,0.2276119402985074,0.1053234345336399,0.3166666666666667
2023-06-30,26806.98,3.6992547548273403e+20,6.25,22038481345.833332,,0.4761904761904761,0.4054773570477781,0.2208254269449715,0.3833567087424029,0.0906838453914767,0.3602150537634409,0.478494623655914,0.1612903225806451,0.4200913242009133,0.2542613636363636,0.3787878787878788,0.3851010101010101,0.1572890225940898,0.4441287878787879
2023-05-31,28084.46,3.5346919766356486e+20,6.25,18392415456.0,,0.5184331797235023,0.4426350222322919,0.2208254269449715,0.2971014492753623,0.1214073339940535,0.3346774193548387,0.5080645161290323,0.1532258064516129,0.5904616945712836,0.1243055555555555,0.0888888888888888,0.268287037037037,0.1775269064307327,0.3567129629629629
2023-04-30,28464.81401778217,3.431148495049612e+20,6.25,16545114735.897436,,0.7899934167215275,0.2674631720767265,0.1261859582542694,0.3285914646363454,0.1060455896927651,0.4147465437788018,0.4930875576036866,0.0921658986175115,0.7951728636660144,0.3874458874458874,0.1428571428571428,0.231060606060606,0.1522851502168979,0.3746392496392497
2023-03-31,23659.4001,3.2708426998951975e+20,6.25,17792199403.333332,,0.7263922518159807,0.2971533161708901,0.1160269192422731,0.3424220093343159,0.1154608523290386,0.4279661016949153,0.4322033898305085,0.1398305084745762,0.812954507018434,0.1611368312757201,0.2345679012345679,0.3765432098765432,0.0262616977542865,0.333161865569273
2023-02-28,23706.0643,2.9250545513225198e+20,6.25,24040336410.526318,,0.3592814371257485,0.4723389042809902,0.1639661852765058,0.3985073331597674,0.0812685827552031,0.3413173652694611,0.5029940119760479,0.155688622754491,0.4712639217664636,0.0950779036827195,0.1019830028328612,0.2592067988668555,0.0954706445857782,0.3875118035882909
2023-01-31,16607.069459238443,2.6929946027567448e+20,6.25,16595199639.393938,0.04650000000000001,0.4520795660036166,0.5297673953390161,0.0,0.2707760044028618,0.076808721506442,0.4240506329113924,0.4683544303797468,0.1075949367088607,0.7940116205097757,0.1731811145510836,0.1857585139318885,0.2360681114551083,0.0552441082022533,0.3457172342621259
2022-12-31,16956.1893,2.474677095989865e+20,6.25,13835410780.64516,0.0465,0.470383275261324,0.3362598770851623,0.250448350071736,0.4782608695652174,0.0797819623389494,0.3841463414634146,0.5,0.1158536585365853,0.4432940426887544,0.3902616279069767,0.2093023255813953,0.3768168604651162,0.1137087852624997,0.3814195736434109
2022-11-30,20481.5549,2.610995419390725e+20,6.25,17447623275.0,0.0465,0.5904761904761905,0.3664618086040385,0.1825490196078431,0.3485990338164251,0.0728444003964321,0.38,0.4466666666666666,0.1733333333333333,0.661159114857745,0.3098076923076923,0.5169230769230769,0.5161538461538462,0.0685896110094662,0.2834615384615385
2022-10-31,19305.1719,2.5590388059547035e+20,6.25,20634509540.909092,0.0465,0.684931506849315,0.3491045978808615,0.2813255439161966,0.2767520349414333,0.0708622398414271,0.410958904109589,0.4315068493150685,0.1575342465753424,0.7358791518108463,0.3831335616438356,0.2260273972602739,0.2611301369863013,0.2921193919904803,0.3441780821917808
2022-09-30,20145.5884,2.2596472384561162e+20,6.25,13845715443.333332,0.0465,0.5422314911366006,0.3189569541728883,0.0,0.485771712683804,0.066402378592666,0.3576642335766423,0.437956204379562,0.2043795620437956,0.4393208566467297,0.3545334507042254,0.1056338028169014,0.3758802816901408,0.2214231615130285,0.4030223004694836
2022-08-31,23311.592835340976,2.0782422606187135e+20,6.25,17117041091.666666,0.0465,0.4732690622261174,0.3639884302773393,0.0,0.4811949853294212,0.0792864222001982,0.3435582822085889,0.4969325153374233,0.1595092024539877,0.3669621273166801,0.3619485294117647,0.2823529411764706,0.38125,0.1840744570837642,0.435171568627451
